diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
3751,254300,48,0,5000000,5000000,418,0,0,0,False,6898328361828729857,False,False,False,0,MS4wLjABAAAAiwDJwYvV4a-Ick6X5qGoQP2asQf4hVrNX6e-mGYbhaGQfM7V-3wUnvSD68ZyVewF,False,0,False,djkomangrimex1,False,1691756830,1695809035
8901,133300,36,0,6900000,6900000,31,0,0,0,False,7256064990993908741,False,False,False,0,MS4wLjABAAAARKWxlf3Sfr4Ns395poujo4KJGASVNPV8EQEKVZNI0-MteiALyYueekbeIpvk1-h3,False,0,False,are.you.okay.15,False,1691756830,1695809035
1806,10100000,244,0,337800000,337800000,1094,0,0,0,False,6925280845469221889,False,True,False,0,MS4wLjABAAAA6QEP1lg6kzxwgHcY13b9zk4y_rl3Nr9fJuFXcaFFZLeK9TW7EklTqIwd04lF-pOI,False,0,False,shabiraalulaadnan,True,1691756830,1695809035
39100,3700000,257,0,69900000,69900000,533,0,0,0,False,6768736425992946689,False,False,False,0,7285808013951175431,MS4wLjABAAAA0qPM3PkyCwlSltktTjTL2_DVoatdw0kbCeEje5q4yBgwzk7KP-2_StRB_uRpLmYT,False,0,True,violetorca,True,1691756830,1695809035
372,307000,43,0,16200000,16200000,40,0,0,0,False,7008506199009133595,False,False,False,0,MS4wLjABAAAAJvGgdb892xesauEHh33eysropYBG2T0VPL0y29UdPeiIvz9-T9sNWZ9rW-D01__w,False,0,False,amihreog,False,1691756830,1695809035
16,2000000,2,0,4400000,4400000,351,0,3,0,False,7117201876600931354,False,False,False,0,MS4wLjABAAAAFC7pJqpU1gOT-imUsg5C_Pcd4S3KjikjAuBJGYTDPXMatWAC3vvaz-vr-d9IGqd_,False,0,False,tokomamagigiofficial,True,1691756830,1695809035
10,3000000,5,0,16900000,16900000,21,0,0,0,False,6758749708128306181,False,False,False,0,MS4wLjABAAAAk08tqjc5094MT5YqZNgYefRt4ckaiA6PDWEV0uZpGDjLbpGhlmMOsYLBOcDv1Kh4,False,0,False,v4davictory,True,1691756830,1695809035
128,645100,5,0,11200000,11200000,19,0,0,0,False,6844866061310886914,False,False,False,0,MS4wLjABAAAAnXNYv_x0QmL-wWhR6f5tkK2q2xJHyZXK2syFd50oQnn7vnIiOAHnHpZukU1WMw0K,False,0,False,amizahnadin,False,1691756830,1695809035
1008,1500000,145,0,62900000,62900000,477,0,0,0,False,6565046268413394946,False,False,False,0,MS4wLjABAAAAPeBIe-k9jIsUMMIrU1CAolFLbpUqR1Itd9QXlWTXVHSXgw-B9OSsG9Wy48Z-I5Fm,False,0,False,yura.yunita,True,1691756830,1695809035
5,2300000,10,0,4700000,4700000,11,0,0,0,False,7276389479672366085,False,False,False,0,MS4wLjABAAAA1GQkErjTBfHUpDvKZukvWwvYzK9VK3uK2vG27zema_Sm2srfH3kmbBJsbCMmAjfV,False,0,False,vilmeilagi_,False,1691756830,1695809035
50100,2100000,655,0,70000000,70000000,853,0,3,1,False,6642182322353618946,False,False,False,0,MS4wLjABAAAAf8ICrpAD4wa5EWqF2bZ6WI9twujWRtSk2lN3qaj2GG37PmJxle3Qbl-4PG6bjFVu,False,1,False,cintakuya,False,1691756830,1695809035
1802,259300,0,0,3700000,3700000,1275,0,0,0,False,6954970693184259074,False,False,False,0,7285730116021635845,MS4wLjABAAAAicEV8AicBKGKJVILMCx9DuDM5m0dQqX4H8_nk4EpSOvVy5HvwLTKlcxke6bwWOd4,False,0,True,bromen_id,False,1691756830,1695809035
80,23,27,0,27,27,1,0,0,0,False,7184725577042920450,False,False,False,0,MS4wLjABAAAATUqEuexwpSPec1kIsGVp_-aSeD-3t73dxqw7ybgpbYL5aXs7YRkR9SKmvDmsLVDt,False,0,False,umarmeky,False,1691756830,1695809035
25500,645400,641,0,23200000,23200000,668,0,0,0,False,6620356800212811778,False,False,False,0,MS4wLjABAAAAikyiqePqDHJZEVlIuc0Dg6krOSHncPsgFB2iW7MK-e_yB6aRcpGrzEffE73GuKew,False,0,False,deadpudds,True,1691756830,1695809035
143300,334,661,0,792,792,9,0,0,0,False,6817989381006246913,False,False,False,0,MS4wLjABAAAApi1-gNlsAvjqtq7BVOXXi4gRMrJWu58ioycJgFtRd00mnkuudXCt3iBD9z7F7MDv,False,0,False,rhyfaya,False,1691756830,1695809035
335,2200000,79,0,39400000,39400000,577,0,0,0,False,6863641580864979969,False,False,False,0,MS4wLjABAAAADMhRB48b4Jkheb0ZbcaJ0bYtU02zjPfjTnC8RN4LbTqlp9s3fA3vYq2zBxqmDpQY,False,0,True,jacquelinewijaya88,True,1691756830,1695809035
946,347900,53,0,17100000,17100000,123,0,3,0,False,7256459664732013573,False,False,False,0,MS4wLjABAAAABJBmV51ZdkK6O--16RgOiMNEY0cI9jQYBEn6Zj8Yoj82HAEHLYM31tb-iUulDpT9,False,3,True,yourminbite,False,1691756830,1695809035
0,992100,1,0,27600000,27600000,223,0,0,0,False,7182077422572274689,False,False,False,0,MS4wLjABAAAAYjfsX9pOszNtVGYdLOEGNZm7Fx42BopGuCt-hJReskTevkxelJd5yph8HNu2SjdT,False,0,False,official.xodiac,True,1691756830,1695809035
350,1400000,37,0,24100000,24100000,1346,0,0,0,False,6783938270503666690,False,False,False,0,MS4wLjABAAAABEECnxHyCY_CLqSSSOdMrCw_L0Js-Mv1ADVzhd8KrNLl5v4N6N0NKXAxeUn0Ybrs,False,0,False,sandiuno.official,True,1691756830,1695809035
17,227700,4,0,10700,10700,56,0,0,0,False,7187660962437104666,False,False,False,0,7285825435731036934,MS4wLjABAAAAsigqA_3gD78DLNrpGtsnT0HcbEpi7i7m2uMIvAs8_cRy1Fzu_lFENhZQ9PixLJdp,False,0,True,theoriginote_id,True,1691756830,1695809035
243,601900,14,0,10100000,10100000,87,0,0,0,False,7110147418062210054,False,False,False,0,MS4wLjABAAAA6FgTmoJG79C1dCAsm_8OjEHLiQ4mm2k8-IKOr18sby1Ly2pvlNgJqeJ5jFsmDQeL,False,0,False,yuvalsmom,False,1691756830,1695809035
22900,14600000,486,0,457300000,457300000,639,0,0,0,False,6815525672347386882,False,False,False,0,MS4wLjABAAAAByQuvtQm4_bMJFBc0j0xzEozwj9PeTy48acbDviqo__pYGDD1t0W7ukEXz4ueOFu,False,0,False,ratuauliaa22,True,1691756830,1695809035
19100,2300000,54,0,39100000,39100000,218,0,0,0,False,6818968586888512513,False,False,False,0,MS4wLjABAAAAQ1OKlwmIxq8EEux1ytJAKxw7D_kldxJIIaUIFVdG2XPLXMk4hcqgUfuZh3Sf0sgO,False,0,False,ahan.zm,False,1691756830,1695809035
10200,1200000,186,0,40100000,40100000,581,0,0,0,False,6505983726119665665,False,False,False,0,MS4wLjABAAAAIO0-ecYEcz4Mbp0-nTHUxTIM8tsEoJfaWNkWnzvYs-NzOzt2qTXmpEjgR80I2uOv,False,0,True,aurelskndrr,False,1691756830,1695809035
1990,9400000,1532,0,423200000,423200000,2131,0,0,0,False,6902771423645172737,False,False,False,0,MS4wLjABAAAAv0d54wOE4Y1rcx_KO8vCtb5Cm85hpIHKJucsI_OeTczmIWiLB4EKIgFZ9S5PJYvH,False,0,False,adi.syahreza,True,1691756830,1695809035
765,304000,4,0,21400000,21400000,846,0,0,0,False,6779516502954935298,False,False,False,0,MS4wLjABAAAAez5GOEtoXVg59bIjhiH5f6HfZVTAlOY8116zCAHfYcDK3pEeWHZG5KzFvEbTi8Fz,False,0,False,dblindo,True,1691756830,1695809035
513,7200000,79,0,239000000,239000000,1382,0,3,3,False,17792767,False,False,False,0,MS4wLjABAAAAdP4NmDnl0npiIgttFu4VfKHeZplEvtNuRwKFwLu6IlU,False,3,False,adelinemargaret,True,1691756830,1695809035
424,919700,0,0,14600000,14600000,1724,0,0,0,False,7215378654989501466,False,False,False,0,MS4wLjABAAAAxLu6JpyfKXvoxoJZJK01f5hcNcAtYOGKuEv2ucWcck-OtK4dTgbBQIGE6S9Sm6TO,False,0,False,dpppdiperjuangan,True,1691756830,1695809035
19,7000000,0,0,177300000,177300000,3056,0,0,0,False,6786923289999574018,False,False,False,0,MS4wLjABAAAAJCtH23HOY33_6SvASsxA7UpSqY2zjsusuKxTnMxePuBdYmDro84qvIFC_Bja5vLn,False,0,False,officialinews,True,1691756830,1695809035
4899,218,82,0,1745,1745,218,0,0,0,False,6959247280109388802,False,False,False,0,MS4wLjABAAAABXsDO5i79aQ9_FyHBwb-X0XpVvj8inXvRfpM3b7IAeTP9KNHy-SWLuH2IAuLgwKp,False,0,False,kiyyakidsshop,False,1691756830,1695809035
367,4300000,59,0,199900000,199900000,1939,0,3,0,False,6848140254672897026,False,False,False,0,MS4wLjABAAAA6WC5q3wh1g53yUHkVh0stXC--ngBpQa5BQ5zzt0TAHx0ROUlfYJJjACuCIlhtupy,False,0,False,rctiplusofficial,True,1690697777,1691507708
1298,2900000,11,0,62700000,62700000,1351,0,0,0,False,6831838264912593922,False,False,False,0,MS4wLjABAAAAjsoR4PwNBqU3739iAv6Uzgtgewm9Ju8PMT_TMbsurdCGUaMJrVSLYMc5sSlHF8WO,False,0,False,brownisttv,True,1690697777,1691507708
285,444600,23,0,9600000,9600000,85,0,0,0,False,7156761044579845126,False,False,False,0,MS4wLjABAAAA-yzKTRKFHYz6bvE-OTM0i8Zo4qusH9hPX8wwmiAnIwDzRHozcH8F5URLyQO2vGPy,False,0,False,satelitgoogleearth,False,1690697777,1691507708
10400,223600,60,0,7100000,7100000,64,0,0,0,False,6744811251987891202,False,False,False,0,MS4wLjABAAAA_yoOPaZ7GFtP_PIo5nVKlsxWJzhKt5CDJoHmxO1eeOmWg-tRB_7CQpuZ9zLRha4A,False,0,False,zaraleolaa,False,1690697777,1691507708
414,79100000,106,0,1100000000,1100000000,429,0,0,0,False,68616495085350913,False,False,False,0,MS4wLjABAAAANnzJ9pdfxtlf3m5Ku_M-rCXVitJC13w4GavqyUD3RE8h1cZ-7O9FT-uQ9rCJjU_E,False,0,False,zachking,True,1690697777,1691507708
44900,673700,209,0,31000000,31000000,1470,0,0,0,False,6529781925572542465,False,False,False,0,MS4wLjABAAAAxyC2_W7Wbh_DKilMe5Fh8OS7RynfIqco2CEVcYCxblhtI1aX7GBYoESi6Tz9Hc_O,False,0,False,rflyrolland,False,1690697777,1691507708
4189,831900,70,0,47000000,47000000,546,0,0,0,False,6810094045030597634,False,False,False,0,MS4wLjABAAAA1Vhk6SBUGBna6WBfV9TGBBK4jqZLBQIKNmMY9LDr3s5MQj748st4vmqsAq-53DwR,False,0,True,boycanfeel,False,1690697777,1691507708
69800,695700,188,0,17600000,17600000,54,0,0,0,False,6609905787157184513,False,False,False,0,MS4wLjABAAAAq_yjjg6XGh2StHp8ki2tN7pzSfsQW42A9vEHyQ5SJMu7E5amibLrJfwBFm85-42y,False,0,False,zsazsautari,False,1690697777,1691507708
2938,766300,106,0,15200000,15200000,57,0,0,0,False,6769796574303601665,False,False,False,0,MS4wLjABAAAAMVUZEPX_N3GugGrIyTrKK5ok2ONDUsikuLzkLnbUQIRHN6hr40Surmvx03gucfUA,False,0,False,diasbawolee,False,1690697777,1691507708
2420,2400000,14,0,28200000,28200000,453,0,0,0,False,6900172513536640001,False,False,False,0,MS4wLjABAAAA1_wLh8OCW8PoJWAoFGkm_Xp1Tvv9lc0vSKjr8Co2KiFp5_ApzUoK6aOWvdQiqHV2,False,0,False,nikitamirzanimawardi17,True,1690697777,1691507708
4180,1445,16,0,45700,45700,12,0,3,3,False,6931909843561808898,False,False,False,0,MS4wLjABAAAAkfwoHEsD2n8Iu5A7WSxtcfuXxJ4675YHF219351rRkJMKtrf88aApjCQqKsnsEQ5,False,3,False,ifaahatesyou,False,1690697777,1691507708
10600,276700,45,0,12800000,12800000,133,0,0,0,False,7181332731065435163,False,False,False,0,MS4wLjABAAAACr9Kuj2ZNqFuTWsiE3Ch3P77QQ9RDR97HVzp34hlSMUfiG8a-tEToPw8yMAQbnOx,False,0,False,mickey.ara,False,1690697777,1691507708
1959,5800000,150,0,84500000,84500000,156,0,0,0,False,6974427797783675909,False,False,False,0,MS4wLjABAAAA5pDKL9ika4lhvFiGGjO2trjE--jUMDXPYjm6BaxeSK3gYvJ9tRwlK49pBpzcOGwS,False,0,False,dina_kalanta,False,1690697777,1691507708
118800,1600000,258,0,130300000,130300000,236,0,0,3,False,6558310040108023810,False,False,False,0,MS4wLjABAAAADkQ6_qEQyWI45t2UMT39Vfjr_u4WvUgaIQp56HQfjJHcxBRgRD7U-JAk1e9QCtby,False,3,False,syahnazull,False,1690697777,1691507708
107,23200000,24,0,253700000,253700000,3816,0,0,0,False,7045291749736334337,False,False,False,0,MS4wLjABAAAAxQ_VBtanuZ2F6abeGiZokaXeMa9lDEJ-2JX1oB3RgbJycGlOJYEUw2pWDeesJevt,False,3,False,omari.to,False,1690697777,1691507708
30500,1600000,2160,0,41800000,41800000,354,0,0,0,False,54374525584277504,False,False,False,0,MS4wLjABAAAAzlGwlff5M3b6QQy__5BSrzh2Psdtv6T4iQjp6evxEyLenN9OWHy4W83g1v0q2gMH,False,0,False,dandiaff,False,1690697777,1691507708
38,179600,35,0,1811,1811,9,0,0,0,False,7262561368636867589,False,False,False,0,MS4wLjABAAAAUzFw1Jiu-BrTZqHSkoaApdKuyXNv9hR1uIkGJsIEW0q7AboyanYZQw8_fD48h4uZ,False,0,False,garasisalecianjur,False,1690697777,1691507708
3499,105400,815,0,1400000,1400000,103,0,0,0,False,6987821023795315714,False,False,False,0,MS4wLjABAAAAQaK2-tE1EvSljyYk72t8SJpmYYteswLz468x0iaMZrPHMu-Bft4dTzloFSXDjmXN,False,0,False,yudha_refrizal,False,1690697777,1691507708
37900,14300,30,0,516000,516000,31,0,0,3,False,6959301386165568517,False,False,False,0,MS4wLjABAAAAF7fvezAnUxaqZAsZ7gSy7Cn5vxmdRh5RXXGb-eDdmsN2xBIrAvJKoRtZDEX9awW6,False,3,True,putkar_,False,1690697777,1691507708
4550,644000,497,0,22200000,22200000,0,0,0,0,False,7224554470104564744,False,False,False,0,MS4wLjABAAAAbUCmmCFWVznObJk_6MimFUaD1ulC3YjXyH3UZ2SE68lrq6sam9JSvQXRNlcsnluo,False,0,False,benimdelim,False,1690697777,1691507708
524,27900,2606,0,52100,52100,51,0,0,0,False,7250434686593336326,False,False,False,0,MS4wLjABAAAA0gUgwRM-nKvqTMRZU93NbKIdb0oTV8fR5PKfWw7-_kfDV_rZR71R-JfQUHY-mphO,False,0,False,fuckk_garena,False,1690697777,1691507708
540,23100,374,0,86100,86100,0,0,0,0,False,6959371639457760258,False,False,False,0,MS4wLjABAAAApRRQqfb79LKsGoJDDrBIkWfUh7ocwiJbFbLYsErH9iAqujH5pfiHBPTLYSu15VSA,False,0,False,rekomendshop_7,False,1690697777,1691507708
29900,28500,1799,0,121400,121400,48,0,0,0,False,6712077630919443457,False,False,False,0,MS4wLjABAAAAomiZG5Zd5ngs8kCxdOXBYIMPFXxGdiz6W6eaJd5huDj6dO6o-fpQhEFD_8WS7PhQ,False,0,False,leonskennedy_wife,False,1690697777,1691507708
3209,166500,90,0,3100000,3100000,885,0,0,0,False,7097790198658450459,False,False,False,0,MS4wLjABAAAAwUU9arQw12G3TGXspuWQyMPkZO3mDmuV6H8BEKvQavOTbjZuhc1zVRNX8HFlkdpp,False,0,False,radenagrrr,False,1690697777,1691507708
3690,6000000,440,0,116300000,116300000,270,0,0,0,False,6822184139195745282,False,False,False,0,MS4wLjABAAAAVtFc0ozR8tgRIjUmD5jzoz6DMGY9a4jLv4WRDC4s-X6DUqS0cp9XIW0bpNKabs2f,False,0,False,sofarsabi,False,1690697777,1691507708
8984,6300000,349,0,307700000,307700000,1484,0,0,0,False,6679220690292065282,False,False,False,0,MS4wLjABAAAAWj-zhyIFoemb42HnDjpJ1BNmGr4NTi23P9XGkJivgb9IXdpUgsgOrBgOBBWg7UR9,False,0,True,clarashintareal,True,1690697777,1691507708
2390,534000,262,0,16400000,16400000,498,0,0,0,False,26945993,False,False,False,0,MS4wLjABAAAAtY8tYkizhSexx1dQraH3mF2lnwXULBgdg4J7XjNOs5E,False,0,False,patriciagouw,True,1690697777,1691507708
18300,987900,158,0,40600000,40600000,1038,0,0,3,False,6909486557658661889,False,False,False,0,MS4wLjABAAAAKDaFwq68X9ZOE514usxPwSAhHVjYPQxda9NWRPBf0F3LqAHdSQ4S-htI-bMuoHu2,False,0,False,takaa__,True,1690697777,1691507708
2319,2600000,19,0,27200000,27200000,370,0,0,0,False,6832173688713528322,False,False,False,0,MS4wLjABAAAAJWpQ_kK__AZaHICRlsVsJr0WQzuT-ycsA7vEdwuE2J82T00JG_4KMCPbkly66zm6,False,0,True,somethincofficial,True,1689074251,1690697395
21300,2200000,57,0,12200000,12200000,2936,0,0,0,False,6799984172587205633,False,False,False,0,MS4wLjABAAAAuLARd6x8AbVFL3B9nRK5wZ_FZzutrhpEVzkTZpfjZDwQ1bc6liguSDTW2phPW066,False,0,True,npureofficial,True,1689074251,1690697395
750,675200,134,0,14300000,14300000,134,0,0,0,False,6963287229213000706,False,False,False,0,MS4wLjABAAAA2Aj3RochlrGTUMSsTCPJRqsa6fZpqpjxP3L1CkfZ0eRtyj7iaB1iAaalWM9KztuP,False,0,False,dr.reni.effendi,False,1689074251,1690697395
70,1100000,5,0,7800000,7800000,154,0,0,0,False,7001180628788315137,False,False,False,0,MS4wLjABAAAAEE1Dw9Ni7iptfdXcqDazRKJcDwGSr7pQqurHiJnbESRFKwtdElBqmg4RQl04J2_M,False,0,False,scarythings.indo,False,1689074251,1690697395
166,9200000,40,0,34600000,34600000,259,0,0,0,False,6846745734751765509,False,False,False,0,MS4wLjABAAAARzeheWuMaKCRPh75ad0yqz9xbbrRIvw4xFapQGpt5JC1lb_-aA9ida1E1kw_Mr10,False,0,False,zara,True,1689074251,1690697395
3,4300000,2,0,67000000,67000000,106,0,0,0,False,7237435329316701189,False,False,False,0,MS4wLjABAAAA75YGxoyrvLKij2EWkPfSjm5GVd6QLA61jDCTb2uzkaLz7G9hhcrZ_SQs1W7zfPql,False,0,False,demikanimal,False,1689074251,1690697395
979,117300,26,0,1900000,1900000,163,0,0,0,False,7092056640358581249,False,False,False,0,MS4wLjABAAAASrTRswxofN5eQNUx5Tk9j899Zu74SatwcTjfRnSdijH1wmKoKRDMe23VYrX2j2UW,False,0,True,nofaps.id,False,1689074251,1690697395
22300,520600,305,0,19400000,19400000,4072,0,3,3,False,6714182008396366849,False,False,False,0,MS4wLjABAAAAqFKow0eq1Wh-lAA5PtRrEoRZ_xYcw8LDN26VQls9aJ_OH7Tt13Q0tYFDLf8tb4H_,False,3,False,di_hyuni,True,1689074251,1690697395
2547,3500000,116,0,86800000,86800000,339,0,0,0,False,6866301121347060738,False,False,False,0,MS4wLjABAAAAO14SXaPa4ivSOGfQrRo61DBxGEV1ap76-vpRKHyrOmPGnhgCpeKmoFW-4Zv05RwC,False,0,False,leyladerina,True,1689074251,1690697395
21500,1400000,267,0,45500000,45500000,980,0,0,0,False,6873088118783017985,False,False,False,0,MS4wLjABAAAAvDgR8DmztS600vYJGfoNkHHKKbKvkGmoOJDwP4HkhUQ7EMmzChgHoDxWeHt7iRvV,False,0,False,thesabronfamily,False,1689074251,1690697395
7136,184000,632,0,5600000,5600000,142,0,0,0,False,7402233,False,False,False,0,MS4wLjABAAAAwaW59bFvNe6RK3o6yH7DXM8_g37f9IuKA8NHhX8KGek,False,0,False,yolanyoo,False,1689074251,1690697395
551,30400,515,0,34000,34000,83,0,0,0,False,6937978237771547653,False,False,False,0,MS4wLjABAAAAezInFPgj6moN1Lfyy89aW8-KW9ion6F3zKoA7w6Y9T5D2xqZAdKAbm3zFmIS4Rsf,False,0,False,brainuser55,False,1689074251,1690697395
26,726200,12,0,4900000,4900000,69,0,3,0,False,6537633608181497858,False,True,False,0,MS4wLjABAAAAFGHSRXO1WTWVyjJ1RN8qmpfJroXLQTP3r5-4K8Gr1rytjqHizPHx3sHC1jlVZOFT,False,0,False,moektito,True,1689074251,1690697395
8157,113600,46,0,4700000,4700000,221,0,0,3,False,7036895676886909954,False,False,False,0,MS4wLjABAAAAfptNUR_X2xKsQXdmor6AcLiveHSosZmhM8V2TLjpPFJ3B2NonseQ68yLfpXnVVmL,False,0,False,dominggaa,False,1689074251,1690697395
4667,46700,368,0,1900000,1900000,104,0,0,0,False,6785465090394342401,False,False,False,0,MS4wLjABAAAA-YY5AJsybKhIjJ-uisQ0d4rCFicXs4QMjKTEGqhXQNv0nwbBX9bKONS2q8lFM8O-,False,0,True,kkeziatan,False,1689074251,1690697395
23400,689600,161,0,13800000,13800000,398,0,0,0,False,11021625,False,False,False,0,MS4wLjABAAAAxRwzHXgQZaarMgdhSEQSwWWD77mrD-Cd5vtrOa4sT2E,False,0,False,anantavinnie,True,1689074251,1690697395
604,704100,6,0,30000000,30000000,148,0,0,0,False,7194134651693188123,False,False,False,0,MS4wLjABAAAAnIbikRx4gwdVH4LM7NB54A82iCLhc3r9e3RnB0y-wVeJtSOwwklSvfVcXQrJxaTo,False,0,True,adureceh,False,1689074251,1690697395
21,82800,11,0,1200000,1200000,420,0,0,0,False,6985745894952846342,False,False,False,0,MS4wLjABAAAAIO___iT27HVSAUDtycbeqGrSiFHakAVk3o7hZCsaYjFVaiL93NUOPOlHWkUd5_A8,False,0,False,starbucksindonesia,True,1689074251,1690697395
39700,2600000,71,0,82200000,82200000,1029,0,0,0,False,6617490220298928129,False,False,False,0,MS4wLjABAAAAsHLVPCbtbonX4vjj6l0IC1NNfU42q07mUfQHUIZ-aw__6gPP5vjjORIz57wMBfG-,False,0,False,dave.stn,True,1689074251,1690697395
