diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
0,4587,1,0,5395,5395,17,0,0,0,False,7279425412533552134,False,False,False,0,MS4wLjABAAAAK6xPJ3QZeO9xgkXhwC-ZtmMScCjlmlTv1q8mDisWIim1pvoBrplqP_HynU3TJSZw,False,0,False,fatos.naturais02,False,1695174806,1695499209
3515,556,1100,0,3567,3567,127,0,3,0,False,6890368336405120001,False,True,False,0,MS4wLjABAAAAPMa4rLZNkYiB-hVpRbdw1tzcd3xTOiv8pjWv1TEqi-NzY5NDjtN8JKOfSrsS0Www,False,0,False,ollyverdanny,False,1695174806,1695499209
9655,307200,368,0,516500,516500,126,0,0,0,False,6901788109388006401,False,False,False,0,MS4wLjABAAAA5KdZsCn20hc2GvzoPYc-CmVT-Iasdpjwt6BCATOcOM-jTnEzTaUJqv8KZ2Fw2TiI,False,0,False,007vinni,False,1695174806,1695499209
9362,583,527,0,1787,1787,9,0,3,1,False,6928331411851592709,False,False,False,0,MS4wLjABAAAAOjJw4gIZFKXwxMkMEubRbEPzMntazOQyUNR0bXl775li8KZj_aa-Bhyqh0U-NYaw,False,1,False,nurmakkhanovaa,False,1695174806,1695499209
1807,133700,1977,0,280000,280000,70,0,0,0,False,6960066551253664773,False,True,False,0,MS4wLjABAAAA8JnEIvtDhOkLaTd3-Sioi1myZilAINmyx3fJs7kCp9AF3LYjy050l7gpSBMLM4Gy,False,0,False,shimiti01,False,1695174806,1695499209
550,1600000,0,0,45100000,45100000,540,0,0,0,False,7076485662555816961,False,False,False,0,MS4wLjABAAAA4pNbcaWoX-Vhjt1xEKeV3wHhRVESIcvMpIxdqa0fO3ACzfZZMDFELOq1ScDLvrB-,False,0,False,dasha_shpringer,False,1695174806,1695499209
21900,844900,124,0,17600000,17600000,93,0,0,0,False,7195533759415190534,False,False,False,0,MS4wLjABAAAACc-IESdwdj09CcDlxbLI9qplGurj9ZcjJdsHkJAWfO0plscNXGRYE0PfScW7eRHu,False,0,False,astroomoon_,False,1695174806,1695499209
3846,2900000,41,0,70100000,70100000,169,0,0,0,False,7123511562866050049,False,False,False,0,MS4wLjABAAAAjzYrAAEaGNm9vUV7NTNoSKIi8-XTvmeaqL5bSLOnqw0uy2P6oIsIg_W7kGfMu0OK,False,0,False,astroplaneet,False,1695174806,1695499209
7210,1225,5,0,37,37,0,0,0,0,False,6808983761847796742,False,False,False,0,MS4wLjABAAAAh1BW8pOWBr_Jr2WIIgn7Sn8CfcRS8nI-pExQNXqf6vxCLVvlGdr7P60x6cd04moM,False,0,False,curiosidadcinefilo,False,1695174806,1695499209
821,887400,125,0,15800000,15800000,323,0,0,0,False,7137583540614513669,False,False,False,0,MS4wLjABAAAAGjF0GtLfNL1V6Vze3GcYGV21iCpBgZxfAz5eWvRaRqme51kMXi2wC-A0fLOoR9NP,False,0,False,iamtrashcvndy,False,1695174806,1695499209
48,305700,14,0,3800000,3800000,214,0,3,0,False,6986395219970606086,False,False,False,0,MS4wLjABAAAAS43j_nVa0-cXeCI_73ZbHs9_WlAqNLd36Pi4YbFEeNbxe-50rHLzFBUnBw322rBy,False,0,False,bichosincero,False,1695174806,1695499209
17100,183,875,0,861,861,212,0,0,0,False,7082199441114416133,False,False,False,0,MS4wLjABAAAAuYBCWHZyLup25SlcG_TOq8g4IMtHuuMiov0sP7ZtyMgoui84b4DWnHN6AVks_RKK,False,0,False,cosmasantos74,False,1695174806,1695499209
1058,258500,13,0,6100000,6100000,29,0,0,0,False,6923221980897068038,False,False,False,0,MS4wLjABAAAAuH-iVkxAGPz8STwgKJ28ImX2HrHuB4BADBK_dgD-mCdZu5LIOZo4xlGTiy9RsnCk,False,0,False,adri_santos_oficial,False,1695174806,1695499209
5100,135,2665,0,35,35,7,1,3,3,False,7061195222911779846,False,False,False,0,MS4wLjABAAAAtyS7OBKSo9oJMZ4oXznmwOyRz54poRnBfJ-Q12NnB5YBP0q0vzlb3J-edopoq6ox,False,3,False,music.trash1748,False,1695174806,1695499209
0,3,0,0,36,36,1,0,0,0,False,7281429567884772358,False,False,False,0,MS4wLjABAAAAqMgXGtKsrO0sdDB6usoIVLOwWa0wBVw8KdUBUyVyWLMKMFAr9GKLG0O0H057nbMI,False,0,False,vs.vs.quem.te.res,False,1695174806,1695499209
9,72800000,4,0,512000000,512000000,182,0,0,0,False,6745191554350760966,False,False,False,0,MS4wLjABAAAAM3R2BtjzVT-uAtstkl2iugMzC6AtnpkojJbjiOdDDrdsTiTR75-8lyWJCY5VvDrZ,False,0,False,therock,True,1695174806,1695499209
266,2200000,88,0,45800000,45800000,257,0,0,0,False,154572616492601344,False,True,False,0,MS4wLjABAAAAURzYug4YXbthQVMdVmypVYPnKJi7qpU59b3_dSlx80FRECxK4JGZNq_p58ngKAnE,False,3,False,liamvidal,False,1695174806,1695499209
45400,1596,378,0,18700,18700,65,0,0,0,False,6868299388118303749,False,False,False,0,MS4wLjABAAAAz_S5-UxdRw1VMONr4npCdOl75W_OzB9SBHGf2JB2VdFducb7T8iNeXJM47sJI9_P,False,0,False,gabytortato,False,1695174806,1695499209
577,28,27,0,134,134,17,0,0,0,False,7281039022678705158,False,False,False,0,MS4wLjABAAAAd9K0dVpXpeOMwZ7bNbs0XuuqvCfKhc2zaquqyPrcOB3x-L9ZQXvVkjuSoJy6xQJ4,False,0,False,seunomeemtitulo,False,1695174806,1695499209
29100,3974,175,0,105400,105400,87,0,0,0,False,7061975634909807622,False,False,False,0,MS4wLjABAAAAaf-LrHMrLN4f9DF4uAxNZFhNKLr722m-JRSAkVK8UjaQ3Jd1_Quka2tVvmqYtXWY,False,0,False,nonthense,False,1695174806,1695499209
3567,592,296,0,9490,9490,617,0,0,0,False,6931131877848908806,False,False,False,0,MS4wLjABAAAABHjzg8WmLpJHO0YkORo70mmxX4cwclxsEAaW3zQ4lgVcdHxb7Bi7uwQcWr3UOGxD,False,0,False,cesarthallonys2,False,1695174806,1695499209
8715,1700000,655,0,57000000,57000000,510,0,0,0,False,6839128736572146693,False,False,False,0,MS4wLjABAAAAy2ohR1_oBijBV7R5YenAiBZSbWWHlydX__axyhsswZZ8CF5yIU5HvJd2r_Bq_UD9,False,0,False,ribeiroaqui,False,1695174806,1695499209
40000,2300000,523,0,45300000,45300000,87,0,3,0,False,7023280301259506693,False,False,False,0,MS4wLjABAAAAvJAlccj_8ZaH1J_SG8E8wNw0eg6SaS5RcTPkbPfVCkepXA9UUOxCzp01KMPjv0Ak,False,0,False,giosofamous,False,1695174806,1695499209
416,122900,61,0,3200000,3200000,1070,0,0,0,False,7112229764526392325,False,False,False,0,MS4wLjABAAAAgg1-VO9UfKTb6caibpOx9ZcjdZQoXejhM1yPlqYzfmIbI-AqWSPgACj71BujFVKN,False,0,False,543joao,False,1695174806,1695499209
230,209700,21,0,7800000,7800000,164,0,0,0,False,7204976590433666053,False,False,False,0,MS4wLjABAAAAvMF8fuIYkJyJ5zgxpZkiDSiaoeRpu9zj8XYeP2xAqhsmDMc0amjRA9NtyOA7Z2La,False,0,False,thedanieloliver,False,1695174806,1695499209
8,990000,7,0,5300000,5300000,183,0,0,0,False,6743312600743937029,False,False,False,0,MS4wLjABAAAAs0CmTR0hwBS1yfkGQjuXI1v6BYa5iF43U1udoVQFHUP4FB4hzSp7fz49P8JBobvz,False,0,False,xboxbr,True,1695174806,1695499209
28,193900,28,0,3200000,3200000,255,0,0,0,False,7260192103806895109,False,False,False,0,MS4wLjABAAAAK_zwN3ajLFSXWWKPp-CHnur_spVObDCbl6Ut0XD3CUVf5Vl6PgA8FwD7SZBLIdwd,False,0,False,audiodubom,False,1695174806,1695499209
49200,2000000,192,0,38100000,38100000,1279,0,0,0,False,6873966434386560001,False,False,False,0,MS4wLjABAAAAiRzWE0T9laJsn1dN-ghKpUuc8IcECVu72z40pJ16BEUtHq2cvMX2NVS1GhahQvfu,False,0,False,soyflowers,False,1695174806,1695499209
484,6393,33,0,188100,188100,98,0,0,0,False,7267237728881050630,False,False,False,0,MS4wLjABAAAAZAhbknsWqH2Z-j4EX7f6OwJm7ZcP5p_Ui2-xDuaIylvT1qXskqz6PO1M6VcaW21r,False,0,False,_vovo.mariaa_,False,1695174806,1695499209
24500,3213,3545,0,1736,1736,54,0,0,0,False,6936261725310567425,False,False,False,0,MS4wLjABAAAANRSlpoiPL01gRgCzwu5kgMlKCmGF8RLwuBsuGSxLmk32lzvlcV0Btm878LeZ1kDf,False,0,False,monicatgoncalvestostes,False,1694797433,1695174602
7644,1100000,858,0,24200000,24200000,1073,0,0,0,False,6847610180025287685,False,False,False,0,MS4wLjABAAAAQjlgV4YcAFA4bMhXXOWHMek4FtIC7ni63rlXTF-kyi_1Wd7kwgcXfyCXgaZadeuV,False,0,False,vaallmachadodois,False,1694797433,1695174602
744,24100,7947,0,18400,18400,134,0,0,0,False,7250290704110502918,False,False,False,0,MS4wLjABAAAAAs5WGpdjE9e866guJfex-Bsfz8fbDRpw8cdamNO7SUr4gyTgaUd2RFg9vKTqCmMW,False,0,False,messiasgabry88,False,1694797433,1695174602
0,108400,0,0,2800000,2800000,43,0,0,0,False,7277644443828864006,False,False,False,0,MS4wLjABAAAAtVrIvFzVV1F-iHxYE8eGNWDzJ88Vgu5ZMNVbwKKKd66eisvzm25BcvkFaBvc9ABm,False,0,False,razoes.para,False,1694797433,1695174602
3570,10500000,359,0,198300000,198300000,1206,0,0,0,False,6771159439753577478,False,False,False,0,MS4wLjABAAAAQyMDETk-lla_M9No75FVy4rsSNgKkJOP-SgjjbDAVpZNsLvDDe-m4VIAI1e65UC5,False,0,False,gustavotubarao,True,1694797433,1695174602
234,402800,1,0,7200000,7200000,139,0,0,0,False,7242752870550144006,False,False,False,0,MS4wLjABAAAA4at32WcKPoW8-LY6VvC2eLfwgi9V54CfJdSpLUahgfBtgMO2wV4bhqeWHEcyda5z,False,0,False,fatos.naturais,False,1694797433,1695174602
2558,8275,7250,0,8330,8330,286,0,0,0,False,7104978287689057282,False,False,False,0,MS4wLjABAAAAQADz_kKGyzI9ppE4dOo0bJfnvFAw-Hpz2EyWWisZ7sZcoUqe9bO3R97KfA5mejxK,False,0,False,clow1700,False,1694797433,1695174602
2443,1694,2126,0,1334,1334,134,0,0,0,False,6529663013715186688,False,False,False,0,MS4wLjABAAAA7rg6oQUvVTAWxMpvfjhBxOzzaD7D733v6L0TRtimP3cXAR7vvd-q3v6aarhNWGJD,False,0,False,andreluizdasilvag,False,1694797433,1695174602
3789,2300000,1355,0,24800000,24800000,1876,0,0,0,False,6942509602371896326,False,False,False,0,7285823905322797829,MS4wLjABAAAAhOoNR3u1aUAqLfYGo4-2YXuxRcHPj-E79gyQNLIX6ZJr1haAV-ZR_oDjlzCuYSi6,False,3,False,fabinvideos,False,1694797433,1695174602
14000,29,142,0,0,0,0,0,0,0,False,7207591129523635206,False,False,False,0,MS4wLjABAAAAL1IzpzOJD9ep2XvTiwKuOkmBQ20jvnMTPGPMDtWQNEIsqu3V3Tptgwrv2rKhEYH2,False,0,False,riquelmeferreira355,False,1694797433,1695174602
6074,4385,46,0,250600,250600,21,0,0,0,False,151620435284111360,False,False,False,0,MS4wLjABAAAAGezHoR-ZDMkp8wNmFH_mbNxE7RCAhmjWdJteOmyVBh1f_mYlkKkDC7GIJFK0THnv,False,0,False,marcelsanttos,False,1694797433,1695174602
715,75,174,0,23,23,1,0,0,0,False,6821023738945209350,False,False,False,0,MS4wLjABAAAAhOGP8H2G96giU2-9VUazzHcOQQ7zMZ4vYQrtM2b-XIup4KUbXrCZY7_mHmWV__7T,False,0,False,matheusgama64,False,1694797433,1695174602
15,10900,4,0,274500,274500,55,0,0,0,False,6997524275175965702,False,False,False,0,MS4wLjABAAAAlXeCM8ut-_WKy_53plBNWvRdADQz8wtke695Pze1ZBTzGHXLzh6dGunRgNwbDnig,False,0,False,agnosyo,False,1694797433,1695174602
1677,476300,208,0,103100,103100,0,0,0,0,False,6802998053853086725,False,False,False,0,7285818503184354091,MS4wLjABAAAASz07JVp6wBoU8TEA0_BvQBoZSgI7XARbkbi1jkG7jf15QUMHQIi4o7U4ciE3zF9X,False,0,False,weteta4165,False,1694797433,1695174602
54,469500,3,0,6133,6133,17,0,0,0,False,7241627580376990726,False,False,False,0,MS4wLjABAAAA8sFr2KgKfDd6nlpBZRehtuZNtw_UUq-1Q_CdlZZ8CZPlwIp_Fp46KJsyYVV2XUqs,False,0,False,advogamer,False,1694797433,1695174602
391,10600,1,0,341400,341400,42,0,0,0,False,6793406003537118214,False,False,False,0,MS4wLjABAAAA_9UaC0YzmyaTLzc8acfOsHmATjE60p5QOJ6M87pNLhYhAV2MxW_-yoBlXslTOId8,False,0,False,kaysheu2,False,1694797433,1695174602
82200,14300,89,0,794000,794000,14,0,0,0,False,242590087434354688,False,False,False,0,7285833666937768709,MS4wLjABAAAAhoLf2415kWm22X1OxdVOBL-e65b22_xLno3RQD37M_R9RyikZgepZgL1zUBUR68z,False,0,False,yazquis_,False,1694797433,1695174602
33400,6580,394,0,280,280,0,0,0,0,False,7224637071582544897,False,False,False,0,MS4wLjABAAAAjL2KNX44Zm_AMtGTRUAkOax1-5e92KLS589VfZX-lLGe5ATGTxCJ37ICD0QnxLSC,False,0,False,live.games__,False,1694797433,1695174602
1177,87600000,326,0,861500000,861500000,314,0,0,0,False,6614519312189947909,False,False,False,0,MS4wLjABAAAABKjQkOz_IIzXXzEAl_9LGsWhvK-gBnlczwRPXK8EmxAp6K3X0qiaP5_OEqmm0XwG,False,0,False,mrbeast,True,1694797433,1695174602
489,19300,30,0,641400,641400,35,0,0,0,False,7251162454499410946,False,False,False,0,MS4wLjABAAAAGSf3YT7tozSd1ZTmMRUDHzv-yRM-H_of5TtrmzhWR__vuEeRG0T9d8mMHEQtpgPL,False,0,False,anarofc,False,1694797433,1695174602
2064,4094,3281,0,16700,16700,186,0,0,0,False,6960487681160578053,False,False,False,0,MS4wLjABAAAAQCmpiAzYgHdlnaqbb5lykuw2OA5PyY5bMDHrNewEgyM0Gk2zOxtF7iJnOYPM64Yr,False,0,False,notanotherbearbear,False,1694797433,1695174602
42,782100,3,0,11400000,11400000,282,0,0,0,False,6903275321044304901,False,False,False,0,MS4wLjABAAAAmgafhqYM9zYS2HV_4Dt7uNJ8QXegY4zszWiqgxFh5RmTPsfPTWoEEzXp9jYMDcVM,False,0,False,kaho.brazuka,False,1694797433,1695174602
