diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
1914,1200000,81,0,13300000,13300000,137,0,0,0,False,6943026971161969669,False,False,False,0,MS4wLjABAAAAI2DLBrYppgsM9G3QFSRUPDKnABGJNkBWDuNi8GHbvRD7nF1z3C8PWJoDwDABvGck,False,0,False,thomasshelbysosia,False,1694752457,1696345830
12700,972400,143,0,38700000,38700000,493,0,0,0,False,6954793996795659270,False,False,False,0,MS4wLjABAAAAE2rmDPERLuTws_tYXnyThwCJBmmrgLrSAjMx-QebEcHXudhn8uN_tV97vpeQtBzX,False,0,False,isaac.samz,False,1694752457,1696345830
3,501700,1,0,4300000,4300000,15,0,0,0,False,7283900774249038854,False,False,False,0,MS4wLjABAAAANq-V70Fhs4ytxV7C5ITCFwTbR-9AElI9VCPTSJIoQFUDp8zmU1eDnux_zb2hh7-2,False,0,False,sosiatommyshelby,False,1694752457,1696345830
7736,23200,260,0,470500,470500,67,0,0,0,False,6816410424634262533,False,False,False,0,MS4wLjABAAAATTgDjy136MH081Ey6pL9pr3iCqKC52-Hy4KiE759oJUaYBIRJB3JsyVoqTYIa8Yg,False,0,False,mthsnunesf,False,1694752457,1696345830
142,19400,16,0,740900,740900,91,0,0,0,False,6936377703496107013,False,False,False,0,MS4wLjABAAAAcOyBk11hPBmKSaWNQ5RbgJ26hTmgBE9C2vb_qgOUoGCajK6j2OqRTyHlU_2UHmlL,False,0,False,business.enzo,False,1694752457,1696345830
7441,2400000,0,0,41500000,41500000,731,0,0,0,False,6831141260818351110,False,False,False,0,MS4wLjABAAAA6HkwoPYXANjOtG6mdjYqQZMKv09evMPGyXYfZzPR-XZvHsyFNUi3dy8sF4R1q1Fq,False,0,False,fealvesoficial,False,1694752457,1696345830
76,48700,5,0,353400,353400,179,0,0,3,False,7122953743940043781,False,False,False,0,MS4wLjABAAAATRmB8StaEfWcTJXRK8Am8smu_zSCi01EONLNdL9bTJvTay-BFmryYnmCxbXQM0nU,False,0,False,umhomemsolitario0,False,1694752457,1696345830
1283,3024,218,0,89400,89400,26,0,0,0,False,6966192189886284806,False,False,False,0,MS4wLjABAAAANPqfb2mghV5sr2OFsKBBRC-H1KzlgCj8UXa3HH2-Dgz2VVgTzhpTjZ9bDpLuz8XH,False,0,False,teuzo_macedo,False,1694752457,1696345830
362,229600,52,0,5000000,5000000,287,0,0,0,False,7156833272944116742,False,False,False,0,MS4wLjABAAAAYKrhKcmqhiip9CFnprOiNPKz31C7cKG-erVr4P6YS9x5KZ5ARVCzmAIXaplLvpoa,False,0,False,alexsdesig,False,1694752457,1696345830
2092,38700,376,0,850200,850200,255,0,0,0,False,7139125496315298821,False,False,False,0,MS4wLjABAAAA3KSJqG6KE_7YoT7Z_bH96x2s_o_WkN7vWYVXfjas_1K6_-3fNDwWNQRIXdi4KTaG,False,0,False,leticiaunterstell_,False,1694752457,1696345830
72200,1503,413,0,26500,26500,7,0,0,0,False,6789944842841113606,False,False,False,0,MS4wLjABAAAAmyhmYUBy5b6UHw-mV97qb2WYiCnRcIsbV_5qvjDruzDRziEZaqSYQtTsu95YP29H,False,0,False,davii.s1,False,1694752457,1696345830
174,20500,10,0,205900,205900,53,0,0,0,False,7272587509178156037,False,False,False,0,MS4wLjABAAAAWQ3oxNBsFw1-3qhQ6iEXd5zOdy8DyuLf2D98dlNXHyJaW-ymBcI8T_wCqlorApQj,False,0,False,888equilibrio,False,1694752457,1696345830
113,122100,4,0,777600,777600,148,0,0,0,False,7230584531090097158,False,False,False,0,MS4wLjABAAAAQyNs__Zih8IiL8MoGP3hE1IwyAVWcqVU7RfF42KPlYJDkWcdJ3lj-IQ9VtxT1eVX,False,0,False,produtivamentecortes,False,1694752457,1696345830
3075,7301,12,0,167100,167100,16,0,0,3,False,6973803588368024582,False,False,False,0,MS4wLjABAAAAv2nbVToX1E5GdZjqm1DA8FnWsy-1J-WKus19H_tTJFAHM9R858Ry7lNJrAoa03Hm,False,3,False,potenciaal_maximo,False,1694752457,1696345830
708,6011,36,0,185200,185200,154,0,0,0,False,7244162043582104581,False,False,False,0,MS4wLjABAAAAbn2lRVCttol30yDTiajXYUBmAG9gzy7swC5YqejUSeMwfs06_ZKYw1xpklxR2-ZT,False,0,False,habito.de.vencer,False,1694752457,1696345830
551,30400,515,0,34000,34000,83,0,0,0,False,6937978237771547653,False,False,False,0,MS4wLjABAAAAezInFPgj6moN1Lfyy89aW8-KW9ion6F3zKoA7w6Y9T5D2xqZAdKAbm3zFmIS4Rsf,False,0,False,brainuser55,False,1694752457,1696345830
754,22200,215,0,313100,313100,201,0,3,1,False,6858794291855770629,False,False,False,0,MS4wLjABAAAALNSEO-2tYM3VHsVlB5AHz_11X9JyUtFG-BTkICYbgYev1zCOhKC9qtd_gOeYeYuL,False,1,False,andersondhim,False,1694752457,1696345830
487,657,22,0,3912,3912,13,0,0,1,False,6810892437579219974,False,False,False,0,MS4wLjABAAAA9LQ76y6WM2N9yXnYw2SyyvkzBwXJOQkCyIkxbQJ_WZYEy2LejxzBeAtB8GZvDG8H,False,1,False,m4rketinggenial,False,1694752457,1696345830
1883,313700,95,0,3900000,3900000,179,0,0,0,False,6909644695389111302,False,False,False,0,MS4wLjABAAAAzp_9ue9-SuQNJCXEJWZil7YxT0DJi8L3NfCaxsnoz48cntu99UmDJx0dsohrHGB8,False,0,False,inv.sion,False,1694752457,1696345830
1726,6238,1589,0,8217,8217,64,0,0,0,False,7258734316237767686,False,False,False,0,MS4wLjABAAAA2o9u3ork3UDH8GKO4fqHhGTkAHw-R-x1peysGjHwrwfjs6XQkQYu3YpafgIKrEv4,False,0,False,quiz10.com.br,False,1694752457,1696345830
235,870,5,0,4985,4985,5,0,0,0,False,7176392018821694470,False,False,False,0,MS4wLjABAAAA3s5CvhMxUuX3Vpg2sXsqJCYHZj4_cWsvazZ_yJ-HM7JYbOyEoDgMH-PD7vkfwihw,False,0,False,serjaoqueberra,False,1694752457,1696345830
44500,1976,9829,0,39500,39500,6,0,0,0,False,6801563122559304710,False,False,False,0,MS4wLjABAAAAF4cuIJBEU24CQa8lBilAmGl-EfX65pLCiB-npAt3p8xcNtYG4ZpO4eo-ulRBd9NA,False,0,False,nandesz.x,False,1694752457,1696345830
789,46800,0,0,883400,883400,26,0,0,0,False,7265467584438584326,False,False,False,0,MS4wLjABAAAAqXzrdSoSSnVKWWkHlcH5Vr3uX6xvDy9t3LhtKgr2oc6EbIlyiWIctiD7KAZpAaos,False,0,False,tropa1elite,False,1694752457,1696345830
1605,35900,1,0,207500,207500,107,0,0,0,False,6966321359081800710,False,False,False,0,MS4wLjABAAAALWYsQ5KVgqTb_BuZowb2rQS5kKK3EoAcszRh1tR5tU7CYuL4Hs6uo1McL5Two1mI,False,0,False,sou.junico,False,1694752457,1696345830
9408,175600,369,0,4300000,4300000,723,0,0,0,False,95989965309865984,False,False,False,0,MS4wLjABAAAAMXBaXrfbFEiRCe0_vWKyCMmhFhpVx0ynC9pJCHUG8k7hbRvPqpmCWj_5SG4VCM-Y,False,0,False,nickdutra,False,1694752457,1696345830
36,74200,0,0,719900,719900,86,0,0,0,False,7259887599337440261,False,False,False,0,MS4wLjABAAAAaIsnIzaPvVEpZP6FwYmrr3J23Drtl-vy05554qUEzIkL_SYNV3s3zuZGCcvg9aTl,False,0,False,cerebralclips,False,1694752457,1696345830
614,5000000,367,0,101400000,101400000,786,0,0,0,False,6797589099341317126,False,False,False,0,MS4wLjABAAAAcs6qBYkwMifnBAaNzQpe8MoTQsbRj9DPK0NmLQ_Q02xO1op9yLFa0FwTQUWQzVRS,False,0,False,eusoubarone,True,1694752457,1696345830
46,147,1,0,107,107,0,0,0,0,False,7275371031421502470,False,False,False,0,MS4wLjABAAAAbiUrT2qaWGeJGvfXUWioU1oOV6vsuISa96DdJJwM3uzxp2HgL1Wyr58CXvU3xiIS,False,0,False,moreonetime,False,1694752457,1696345830
53,155200,18,0,1400000,1400000,124,0,0,0,False,7254762222265091077,False,False,False,0,MS4wLjABAAAAJspR7t1aPhvTgF_oAzbyxkoYZq2ZBCJR2qE9iKdFuLsxC7kMvblcE1-Z5v7ehAnF,False,0,False,cavaleiro_branco4,False,1694752457,1696345830
15,402700,69,0,4200000,4200000,92,0,0,0,False,7250233276076770331,False,False,False,0,MS4wLjABAAAArZRT-dClmC_53ey3onFJI5Pz7ZHoO50Wn7wuKTSTWW7kUIDELNYb01g9udtMAhtp,False,0,False,motivacao_em_sintonia,False,1694752457,1696345830
64,13900,6,0,155300,155300,65,0,3,1,False,6823863194621445126,False,False,False,0,MS4wLjABAAAADElXyLaO6xt3Mdf713IQwQ8hF6qu5C9AMlQfxU2tO4b8aa9ZH-QW8Hde77J3FDCL,False,1,False,motionfxrias,False,1688263821,1694752218
83,92000,7,0,695400,695400,119,0,0,0,False,7118775820738511877,False,False,False,0,MS4wLjABAAAAc7FuHE8nba24juTa0WN0W0TAFZf4WWMIXoCsEi_HnYvkCeq3ABuAeY9rzdI9QYHc,False,0,False,sharkmoneybr,False,1688263821,1694752218
1856,18300,2,0,352100,352100,261,0,0,0,False,7029462934535275526,False,False,False,0,MS4wLjABAAAAjtgkILHExWiuBlEX9W0qaFWGmDJMT4fAUU1C8tBeKmzB_HCIgTR10Bk316pr3R58,False,0,False,motivareis4,False,1688263821,1694752218
1612,37700,89,0,373600,373600,32,0,3,3,False,6945028335898838022,False,False,False,0,MS4wLjABAAAAb6bIEyDLc5_7a4jrU4PGiIssTxvnKmXByJf5oh6o8Dr_sdqI6hXjP0D4MUUY2hGn,False,3,False,motivacaotododia6,False,1688263821,1694752218
49,27200,0,0,175700,175700,142,0,0,0,False,7223647571129697285,False,False,False,0,MS4wLjABAAAALcK9Hd8kyBwkqesKN6GenlhYSVaL2fy-idqp_ZDxuSYnBbhFk81w0K0eWOGe-f2t,False,0,False,oprimeiroliberto,False,1688263821,1694752218
152,248900,21,0,2500000,2500000,172,0,0,0,False,7256421310635443242,False,False,False,0,MS4wLjABAAAAvlKMmXnDFEInMCAKMPtK-uuE8o5XFlrh5J2rakWTdOjz2G3r6Lt66_xAdtemddEU,False,0,False,cooking.intheforest,False,1688263821,1694752218
