diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
172,5280,1748,0,378,378,23,0,0,0,False,7236346273384629253,False,True,False,0,MS4wLjABAAAAwdV6ArgMnjlvdT9MPbewvp2YFt6KkVlAvbXWBoAdex9o9Pk7d1gBoGl-AwsWTXpf,False,0,False,aliaseone1,False,1688769131,1689880226
2370,422,865,0,170,170,33,1,3,3,False,7163931567507850245,False,False,True,0,MS4wLjABAAAAtUq0p2JDzdsUGBkIJAsVoF4buFfuMQfqrWmHBH4Xx0J3SD9vSZxa-2wd9YLHILIi,True,3,False,user5024628176507,False,1688769131,1689880226
14200,5217,2357,0,12100,12100,127,0,3,0,False,7179317646231356421,False,False,False,0,MS4wLjABAAAA0YhWdaMrE-Ml4hzEkPiZoXUOBhFGRNbs_qy709MrKFiU4w_idT3e1flmruJNr9Jm,False,0,False,faysalsedogo5,False,1688769131,1689880226
350,6172,523,0,23500,23500,219,0,0,0,False,7252608130063795226,False,False,False,0,MS4wLjABAAAAD4Ftf-wEDcfunV5K2P-o8NAUgqRN2l9O31J3BLGD66SqexMZNTJmL7FQ64Oj_FOI,False,0,False,richellejocs2,False,1688769131,1689880226
1147,78000,11,0,269500,269500,34,0,3,0,False,7244973457779147782,False,False,False,0,MS4wLjABAAAAbrxjeO2v5Tq-j5om44SUnml3HAMR5gq7oBY1f44Q-roebgva3SI8lmJZSsnTy0dj,False,0,False,motivationlife44,False,1688769131,1689880226
11500,224800,660,0,1100000,1100000,151,0,0,0,False,6964858579455837190,False,True,False,0,MS4wLjABAAAAClsuAb0cI4gl9eaBtZuXsfNiQ4oHBf_e7S5pP5KbICdmQH88s4uuuJeZZyIFoVWe,False,0,False,assitatraoreofficial,False,1688769131,1689880226
13900,1055,459,0,0,0,0,0,0,0,False,7054503824858448902,False,False,False,0,MS4wLjABAAAAe05zEFmH9VI7X1dXHqS0SutFfwCy3YMAjSt0NbizX2FcHMiKvHwrbIFtdp8Rio07,False,0,False,mariamtiemtore229,False,1688769131,1689880226
3315,2344,1991,0,5159,5159,177,0,0,0,False,7060454175491195951,False,False,False,0,MS4wLjABAAAAvTvlHAbow0NWeyjd0MHQ-VfpjtE55Z5mW2ZwCHl9o1J776YJTme-CuEQhYiiVXIC,False,0,False,honorerouamba2,False,1688769131,1689880226
19800,3563,5108,0,4701,4701,68,0,0,0,False,7123670091866260485,False,False,False,0,MS4wLjABAAAAUSmk65_Lsn0pOBuj8K9fKjjENrhcA7tPYU6H9WYPpNtIHRysqSxPQmk-RH9juc7I,False,0,False,joliebb587,False,1688769131,1689880226
8,1168,1481,0,312,312,35,0,0,0,False,7223656840709407749,False,False,False,0,MS4wLjABAAAArXnzcwe0Z0l0zVfSVlDQsYan0LcAkEKlFeO5hVBJQMJD4IvZd5X4zZ98KqPWRV52,False,0,False,user1177843131929,False,1688769131,1689880226
