diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
15600,30000,11,0,527800,527800,537,0,3,0,False,6977504867644916741,False,False,False,0,MS4wLjABAAAA1bbq9wF8KM_SqMBlIpkD62K616XZSV2jirr2RxuMHILbcIfeePkOK6x7KE4vwvzG,False,0,False,mad7stray,False,1689174497,1693293488
102400,19100,4840,0,769200,769200,16,0,0,0,False,6776200003159163910,False,False,False,0,MS4wLjABAAAA8YD5qykJgy3cwRAqH-7NUx5_gvym00q5EvnkF11lafA0JktdqSVtJLBmxlxWS-w2,False,0,False,geralt.from.tiktok,False,1689174497,1693293488
1172,120000,93,0,2100000,2100000,266,0,0,0,False,6825120402266063878,False,False,False,0,MS4wLjABAAAABz5j1EwnYgOtEH6QicOg76Y9CTWaNX_tS4C1WdK6VCUrgeIbGrmHhs2P9aXMRDfL,False,0,False,nide.tv,False,1689174497,1693293488
2835,704500,15,0,16500000,16500000,676,0,3,0,False,6643558433272397829,False,False,False,0,MS4wLjABAAAAHj6Q0mYRH9YaV1Hep5wUIhgrRVdrS_Xz22YKvJURFkZmZ_4T9qT2b_XyBk82j5kg,False,3,False,watermw,False,1689174497,1693293488
7,3505,0,0,66200,66200,11,0,0,0,False,7263407981080675334,False,False,False,0,MS4wLjABAAAAN-Ykkr1P0cvuo0BtF-c8OXNTumOno-lSAcF8r2MeD2zMdHxBnvduFHtlqiSjEP_K,False,0,False,ubasmrrs,False,1689174497,1693293488
1669,3210,79,0,37000,37000,80,0,3,0,False,6931579877615961094,False,False,False,0,MS4wLjABAAAAbGyScWbQ3GE99nx_nIx_JchO8s539A3Iumx72RhaZ2Ai6d59ALdJDoRCd-O0RSQH,False,1,False,thunderenes,False,1689174497,1693293488
4560,22800,96,0,258200,258200,5,0,0,0,False,7245696798614094854,False,False,False,0,MS4wLjABAAAAIh3YWXzZhXSuaRaJnS_ugaGb72BGdf_Yr_oCI1Z5pL9wmLctjOHTS-aoJz-cpFyz,False,0,False,temir084,False,1689174497,1693293488
36,14700,7,0,479700,479700,170,0,0,0,False,7207496896427262982,False,False,False,0,MS4wLjABAAAAfV1I1a-L7EfKAWEeeXATji2HbStY7kDQcfb4b2RoBdmhLDwWX7v-L1REhkmm6j_t,False,0,False,k4zel0,False,1689174497,1693293488
808,365300,125,0,17400000,17400000,316,0,0,0,False,6947745475118875654,False,False,False,0,MS4wLjABAAAAJwhwGJ5ma-AMK5se2M1PH-Uu7deeGcVwlA-ZTFUbiOuIbiFlC7kBX0jjXcVZeacr,False,0,False,lemoncak3_,False,1689174497,1693293488
357,503,151,0,14900,14900,139,0,0,0,False,7220155309779272709,False,False,False,0,MS4wLjABAAAAWuYogHwxHA5eFcQOnepN1gNARS-meIbjzluF-_YY-7cwmM9yMEvkyWU8uL_i0X3P,False,0,False,ss345611,False,1689174497,1693293488
864,1854,1077,0,41700,41700,95,0,0,0,False,7057059003121419270,False,False,False,0,MS4wLjABAAAA5RfFptillQ2UwmA3FFRtPjOhWfKYJapo6bBSeHkjrL5ud6Ii5HvtIqdpHpwjjRli,False,0,False,azeronny38,False,1689174497,1693293488
