diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
2540,15100,99,0,681400,681400,129,0,3,0,False,6806883762665587717,False,False,False,0,MS4wLjABAAAAjCJEXYs1bB4Bmkj_tPNyY3FE3VKwfOLjLUWDMLFqNbUfqqmCniQK74_jzIZZgpbC,False,0,False,dohnnyjepp_,False,1686625436,1693005557
4074,10300,668,0,25700,25700,332,0,0,0,False,7028381582785856559,False,False,False,0,MS4wLjABAAAAyZD7Xy5SmOmNhJ0FWk6rxay2RoIa5axNo_hvN4DdgYgPjN7VCN92UwN8YkDpGENu,False,0,False,_sirluis,False,1686625436,1693005557
233,498700,21,0,7600000,7600000,897,0,0,0,False,6730019963312849926,False,False,False,0,MS4wLjABAAAAnDP0AfOc94epT6kRrajVvNCRBiLwvCr3xJdq65CgMmIFA_xkQdqNxf8EHfDqb86N,False,0,False,julienhimself,False,1686625436,1693005557
6554,45300,912,0,814000,814000,213,0,0,0,False,7141466519893312517,False,False,False,0,MS4wLjABAAAAh4agS_1PTr1pixEXr_IPpadSgXaik6bc3-cIEET25FHxyfOVKIztU2pfVbNyMjPp,False,0,False,chulo_empire,False,1686625436,1693005557
0,118,350,0,0,0,0,0,0,0,False,7248672914126603270,False,False,False,0,MS4wLjABAAAAxQk2bHISuHn964VkURP3YwlH-svRuXJvSQNdW49opngs07lq7pJuN9I-znrBgEVh,False,0,False,user451377932492,False,1686625436,1693005557
506,125,513,0,15,15,6,0,0,0,False,7101960537496142853,False,False,False,0,MS4wLjABAAAAQyv-qvzCyTaG6QRgwWs86EddPEiR7ncckRvxU6zUPI2NHYJmXQLbG_ErlYfIBuBh,False,0,False,rby0147,False,1686625436,1693005557
8581,6580,6481,0,3165,3165,26,0,0,0,False,7090299872544752683,False,False,False,0,MS4wLjABAAAAu7drochfPX6r2DxL3dDoOD10Dr8KzRuJJtdF5U6QQq3OjhPJawUidtYr1RhkQPSg,False,0,False,stevenmurcha,False,1686625436,1693005557
4988,11700,8159,0,14100,14100,111,0,0,0,False,7166351288900109355,False,False,False,0,MS4wLjABAAAAyw6oykpcWHMiXzbpWpXBlVPdbtd3DvLq5o5pX8wC3EAEiQ8fkecpfII-AGgYfARN,False,0,False,hushaz602,False,1686625436,1693005557
709,3805,1238,0,18100,18100,98,0,3,3,False,7180170874632487978,False,False,False,0,MS4wLjABAAAARl-H4CHmpQln0OI1oHBNnVl8yY37nJJHHO8mIf0K-yp2ktoz_pmy21AUx631qAL7,False,3,False,oldernotwiser1966,False,1686625436,1693005557
27500,20600,9816,0,69100,69100,763,0,3,0,False,6863270912256148485,False,False,False,0,MS4wLjABAAAAuTF8IYXhQLFrHwB9Td9WWYMusByRStOB_hF14lK_myFZ-0cZU87iYjM46cW9Yfd1,False,0,False,lauerrl,False,1686625436,1693005557
853,192400,6896,0,72800,72800,23,0,0,0,False,6774921823807194118,False,False,False,0,MS4wLjABAAAAa2poigW2sobwI6wmBlg0SFcuqbFQCSGoA9NH-NC78ACO76JkRKm_Y5Vg7oESV1YH,False,0,False,monicaelyse,False,1686625436,1693005557
2272,9426,6329,0,1379,1379,21,0,0,0,False,6838082426917864453,False,False,False,0,MS4wLjABAAAAyWPo9WpFTNynqxVjty1SQ_oAj0dGVFWbZPLyjRaet8prulWXa73QhwL_amFohy6i,False,0,False,davidhicks06,False,1686625436,1693005557
40100,10200,5862,0,6555,6555,63,0,0,0,False,7109611640644355118,False,False,False,0,MS4wLjABAAAARAypq9YpVGZ8vg_qv4lfv7OPAvxnIDUVn3i6RcSHrChJJLD9G7bamp_UWxj9MjY8,False,0,False,originalsnoopy13,False,1686625436,1693005557
23200,11700,9780,0,30100,30100,159,0,3,0,False,7188648129246544942,False,False,False,0,MS4wLjABAAAAJAbfeQgaPVaslMCKYN46jz61CFQKtN21No7-DTb26VAWAkMZ0noifIC3Ibdn7poL,False,0,False,snuggle_bunnyxo,False,1686625436,1693005557
98,7472,8002,0,751,751,3,0,0,0,False,7158288777411986478,False,False,False,0,MS4wLjABAAAAzZngdq3gMuqakTivi5FpEF2ywSjVN54JgUJ93twe_2qBOHu3UJEldt9--02FkLhT,False,0,False,ashlyn..k8,False,1686625436,1693005557
3648,4753,4410,0,9596,9596,187,0,0,0,False,6595019288107696134,False,True,False,0,MS4wLjABAAAAHu2y3pGG_rFgpPoIwFLSVqrZXUrP9tbk_vOIXaPYXCp6pIrHLm6FllW40FmmyxOW,False,0,False,michelehumes,False,1686625436,1693005557
2182,922,1132,0,485,485,70,0,0,0,False,6723761122346796037,False,False,False,0,MS4wLjABAAAAeIAyCol6ec0PEB4bkybj8epwDowJbZ7BP_VFChDEb68umUqeRpxK1JzinO-VtWSf,False,0,False,griz2727,False,1686625436,1693005557
242,18,44,0,52,52,17,0,0,0,False,7237072055262790698,False,False,False,0,MS4wLjABAAAAccfGf7WXUAO1viodCSSuPMomL80jsDPEJnQcKZ30T7D7D8TH5_vOsn1Bd6suVrH9,False,0,False,user5924004204278,False,1686625436,1693005557
12400,1562,128,0,1520,1520,30,0,3,3,False,6552152698060832774,False,False,True,0,MS4wLjABAAAAF1SSclsFJemK06Y-y8Sn8jxhfgLVOyGnn6K41U83aVb3AOta_wcCm2PWYoVFX5sX,True,3,False,sierraeggy,False,1686625436,1693005557
1843,5491,5636,0,1180,1180,3,0,0,0,False,7101827761979687982,False,False,False,0,MS4wLjABAAAAO2p15rxLBkVKvA24q7s4pF0CY1uk5DgWZ5RX4a1gPN7tZPOSa5WIZdhRloGjV9ga,False,0,False,justme_dvi,False,1686625436,1693005557
2837,26800,5627,0,6760,6760,17,0,0,0,False,6956646422058976262,False,True,False,0,MS4wLjABAAAAa0dz092cf9gz_fYM7y1r5jeIhnfl0U59YKbH7L_fj8nCBDJsZsM9VpqTbEjuHDTx,False,0,False,queenbeato,False,1686625436,1693005557
182,3279,2792,0,1381,1381,35,0,0,0,False,6810740533355561990,False,True,False,0,MS4wLjABAAAA7y6BF9MGKVkS48yvR7RXdAYWAAKjoEQUxrknrR2shrNGjnf6NZ1_61rmrQYEazd_,False,0,False,linasoub3,False,1686625436,1693005557
3132,8258,5099,0,13700,13700,79,0,0,0,False,6983509085882680326,False,True,False,0,MS4wLjABAAAAf7m6R9hkwlU13AkxaeduIZIIqV88zCrakLLHUAPxAH86Yhi0Lx_8y5eetRA486oV,False,0,False,halliecoco,False,1686625436,1693005557
496,2223,1539,0,339,339,11,0,0,0,False,7193875049206678534,False,True,False,0,MS4wLjABAAAAa6U37Pfqj9ca-u7m6NtuPRrFYG5bupFQcMQY9bmSdUIlY9xr6lvkmdriSVGpYqjd,False,0,False,mblackboy,False,1686625436,1693005557
4556,3355,407,0,4082,4082,40,0,0,0,False,7144390365029286954,False,False,False,0,MS4wLjABAAAAXF4MJwuMmIstVVDgNdXf_rNu-S6vGgqXpoXquEhFul0NcM__rgVo7ml_ejN_Ndno,False,0,False,jinxx_o.o,False,1686625436,1693005557
4198,1773,2722,0,832,832,24,0,0,0,False,6669896404351057925,False,False,False,0,MS4wLjABAAAAC7rNAJ5s3kJgQZbDv37mJNpeB5wFn-r5VPVOToSH4LmYZCyYVp39EZ6D-7IXbDiZ,False,0,False,tiktoktheepunisher,False,1686625436,1693005557
2934,4328,312,0,1740,1740,3,0,0,0,False,7024977538885026821,False,False,False,0,MS4wLjABAAAAA2dq3sPOx-FoeMMXmHSSRJC3cfMyEBYLuBtiX4HqMA7hNmyf4h9l4a9FQVrF0ydR,False,0,False,ryansmith69339,False,1686625436,1693005557
