diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
479,2983,2898,0,1135,1135,3,0,3,3,False,7266014295728800801,False,False,True,0,MS4wLjABAAAAgVb-siQ6frH9PgF1CCD8egRkbFjM5ClpXaxLwUBgQStwATE5OybsddlQFlbwGQC8,True,3,False,buddhis.22,False,1696020284,1696079270
3677,1003,1964,0,0,0,0,3,3,3,False,6799963350366880773,False,False,True,0,MS4wLjABAAAApGpjjvifj7PGm7TMp5XmnnYD_McmHEsvSyroxUom9RNwWZBcMj1NwOT8dJb4K-uU,True,3,False,.sternchen1,False,1696020284,1696079270
1557,683,1227,0,706,706,16,0,0,0,False,7116638144523830277,False,True,False,0,MS4wLjABAAAAI4h9gT8kymaVlJ6W3Va4OCFCCuTqETwxs6-nVffulGRVSrcw4Xs3k-LCBLu46bFW,False,0,False,wahabriaz934,False,1696020284,1696079270
85,1328,2348,0,299,299,6,0,0,0,False,7271177880025285665,False,False,False,0,MS4wLjABAAAAMZ-r57tJr7wu-Vv7IcBCmZJv4HvLn__90nIJlTA-4WbA1k6sWO6YrTyMkGrcKc5N,False,0,False,gegenhaterundmobbing,False,1696020284,1696079270
1110,1320,1235,0,367,367,86,0,0,0,False,7128557211387102214,False,False,False,0,MS4wLjABAAAAmiUWB2AAmviK0DQ7FQ1anILSLAqj43g3ivlzwyl3usM06LSEKNhiPv0VDgBMK3Ax,False,0,False,cheickbekaye7,False,1696020284,1696079270
1455,1921,2510,0,503,503,12,0,0,0,False,7201486000919462917,False,False,False,0,MS4wLjABAAAAsiSDvD-Y-J2Sruk9NfRiErbgRDQHpCZAsBGs1ui5waU4Xh9GeTr0KznlQGu3QdYj,False,0,False,andreasfhre2,False,1696020284,1696079270
2298,407,620,0,433,433,43,0,0,0,False,6736881568680707077,False,False,False,0,MS4wLjABAAAApOy_Y4ou87uKHd_9R_MUZnhn9NEPUNYwYhVmfbPPoe3VmYvlhX1t6C9yTPx7To0r,False,0,False,andreasdiehl6,False,1696020284,1696079270
1442,1461,2465,0,1734,1734,80,0,0,0,False,7271027841767998496,False,False,False,0,MS4wLjABAAAAfuJN2u4CGDhMvI8jCxLi1gfO-XGej2GM5BdIlltI4GpT-Aw36k-DB_74_HYGtYii,False,0,False,_crazy_bunny_4_,False,1696020284,1696079270
913,1596,3250,0,359,359,10,0,0,0,False,7278580099338355745,False,False,False,0,MS4wLjABAAAAL_ReVEplFEjK-g1LVZNgrjYboXIFKgB--5diClbw3Pudz9elhQ7W52ABOraWCnwm,False,0,False,rico.kurdistano.c,False,1696020284,1696079270
381,2144,2699,0,204,204,8,0,0,0,False,7277787929237554181,False,False,False,0,MS4wLjABAAAAnW1HPhoOgGE-1zqju36xr-oiPMX0JNGTABfIqW0UjWeOV6Y0KbtOl9EnkppETv0w,False,0,False,callao20store,False,1696020284,1696079270
21,762,1031,0,6,6,0,0,0,0,False,7272037818979927073,False,False,False,0,MS4wLjABAAAA8d3SUuboTjrX7ovwp7AS3Pjnv96EPEqICGP3MRLrfPVPEk_3DuE8Z99H02JlU8Ea,False,0,False,asita.geiger,False,1696020284,1696079270
103,1586,3151,0,393,393,26,0,3,0,False,7214709676205868037,False,False,False,0,MS4wLjABAAAABz6ylWBgR4Rk-jLLF45x6CG5_WnAthOTED561JVuQ3ePDcpACXNWMrZ5rwme4xfA,False,0,False,chamytv,False,1696020284,1696079270
7159,1395,2853,0,28,28,1,0,0,0,False,6538625161380238351,False,False,False,0,MS4wLjABAAAAvCP5g6D4rAnzJChkzjdMEcrLdbk4wYQclD7SbWglRpzfxfdj79SYwX6fUBFO2Xmz,False,0,False,susischnatter,False,1696020284,1696079270
5395,1868,3198,0,2791,2791,99,0,0,0,False,7199610739547030534,False,False,False,0,MS4wLjABAAAAGKYUuwiXTBu-v6CD9OOKmjlRth7otWxZTocDw02V1iyqAnGTK-K1W6UBSzY9LgBG,False,0,False,zabra_68,False,1696020284,1696079270
25,1047,1373,0,78,78,2,0,0,0,False,7276575359079941153,False,False,False,0,MS4wLjABAAAAvC2P1NQs5ezm1u4DGVXi7le2iNPmzGRjtluLtsDv5xTvxEK84DG5e0aqA8OjFBEU,False,0,False,goofyaaaaadukek,False,1696020284,1696079270
55,3349,6311,0,443,443,35,0,0,0,False,6911752107281892358,False,False,False,0,MS4wLjABAAAA_rBvDGrWcnjeH8bQOxa4Ukrd2rSI_eF8qrDg-sSMC6jobVdt5RM5iC6Am7clb0wp,False,0,False,tomversmold100,False,1696020284,1696079270
6,315,327,0,13,13,1,0,3,1,False,7278004273438114849,False,False,False,0,MS4wLjABAAAApnPgSNtzXmSqxS4z6ccwW_wgacAYTSpvZ56ZmDBX3cFDLTMkceanRX3_ypaEiA2-,False,1,False,kucktmalaufmeinacount6,False,1696020284,1696079270
