diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
3533,23900,5094,0,99600,99600,344,0,0,0,False,6901459483392181249,False,False,False,0,MS4wLjABAAAAD0LNKhQw35obMlbcFjEMzBaMEZDTtgH8vwQyD3yp0rKStBxjFxpKpS6-RqrNhZQG,False,0,False,kalangodomatooficial,False,1692422246,1696362235
403,179500,6085,0,257400,257400,37,3,0,0,False,127656219019808769,False,True,False,0,7285807315427543814,MS4wLjABAAAA1hr5nFgK704LaS3KQbweIV5xt_2uHphX6uhTOL70SCDRAI6GBzd699gS668z-DDd,False,0,False,larybottino,False,1692422246,1696362235
46,391200,129,0,146100,146100,64,0,0,0,False,7014153710860567579,False,False,False,0,7285715009010092801,MS4wLjABAAAAB_f-SQcacNK203G6hSsLRPcTRvLP5mH50UScNZG3Z6HGHEROETaikOHLp92r4Hkl,False,0,False,deden.wasliman,False,1692422246,1696362235
551,30400,515,0,34000,34000,83,0,0,0,False,6937978237771547653,False,False,False,0,MS4wLjABAAAAezInFPgj6moN1Lfyy89aW8-KW9ion6F3zKoA7w6Y9T5D2xqZAdKAbm3zFmIS4Rsf,False,0,False,brainuser55,False,1692422246,1696362235
255,980200,171,0,1400000,1400000,135,0,0,0,False,7090836920029348865,False,False,False,0,MS4wLjABAAAAAYyjFFcUJDXXmSFG4mjmIR2SEKk4KA3raVGi-mFGru8bgrbRClZkBRy3uYyEywiM,False,0,False,rita_robots,False,1692422246,1696362235
381,69500,357,0,24400,24400,70,0,0,0,False,7171113373056074779,False,False,False,0,MS4wLjABAAAAqaShE2Da1DAxhP-Ms9B-4hv8_22bDzcglJVOPovk7WjNFvXnMQqp-PeTkIVPQKC8,False,0,False,nguoinhenlive,False,1692422246,1696362235
753,180700,253,0,1200000,1200000,177,0,3,0,False,6679964256954352645,False,False,False,0,MS4wLjABAAAAKrPQ6ZUiU6OJNX6x9zNPxTACb-RSE56LFQ4HsoTkOe-7gfwgfFLj6CxHA6i3NR4f,False,0,False,kuhnracing,False,1692422246,1696362235
1042,220000,2624,0,178700,178700,223,0,0,0,False,7183071068994487323,False,True,False,0,MS4wLjABAAAALEr5Ni4zLdD3c7m1kVjkIsQaNhNnXH6YlXTMW7jp01uD1uAO65L7O5A5wIPehU_k,False,0,False,hihisoncodon,False,1692422246,1696362235
1543,1100000,3896,0,1900000,1900000,559,0,0,0,False,6784967759883633669,False,False,False,0,MS4wLjABAAAAs1R9HD01UGV4dtnt-lrOGcJBw_xUN6F3e1MJC_Klnug0kB2-tAd70rv8iAnyXO_g,False,0,False,evequinte96,False,1692422246,1696362235
187,358800,214,0,2300000,2300000,52,0,0,0,False,7047661616079848454,False,False,False,0,MS4wLjABAAAAK28yW7xEbZj51He6JYEiST2QsfzO5SzKl_22gFLD-zvwIu-Sc7tZ5jKmy3NupmaX,False,0,False,thejilson,False,1692422246,1696362235
