diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
237,14800,61,0,103600,103600,27,0,3,3,False,6834959176197620741,False,False,False,0,MS4wLjABAAAAKvSyX9qcoo8N0dXZfmm71zzYcjPixP6LYxi2wosgcTU5mSBCcdRJ6BK9GAGPIXQc,False,3,False,crypt0n.thegoat,False,1689025280,1692132377
5344,31000,9982,0,179000,179000,328,0,3,3,False,6725158641706533893,False,False,False,0,MS4wLjABAAAA8CLF1nXDp4sNmSbGNq1D1QhSrpKwFL1igxIbkqrKibEERnorx-1mO2YqrIlJFw9g,False,3,False,tarot__777,False,1689025280,1692132377
3136,411700,301,0,2300000,2300000,204,0,3,0,False,7114366425444287490,False,False,False,0,MS4wLjABAAAABt7xQLhZo3f1-zUq5Y9qYdPRctYzwoRJdF-Hd_S07pOF4XNJ-NWX_Z5lDzPDL1qX,False,0,False,ahmad.9244,False,1689025280,1692132377
1744,2200000,444,0,25700000,25700000,335,0,0,0,False,7125868878132069382,False,False,False,0,MS4wLjABAAAATFzTv3s75lFbG_Ru00Rh_SJrmeZvdgnu4MUILNFa8sHlhb-WqB3AOr_7L2pHBTjl,False,0,False,ambaby80,False,1689025280,1692132377
546,49400,72,0,40400,40400,166,0,0,0,False,6559058678263349253,False,False,False,0,MS4wLjABAAAArlg6uPh4AfmpXo9LnsAYP5R2V4-N0znHQX7gMkZx_EnpmCLdadwZ0x3QOjj1pZbH,False,0,False,abramashvililuka,False,1689025280,1692132377
337300,2200000,771,0,17900000,17900000,1055,0,0,0,False,258898561151561728,False,False,False,0,MS4wLjABAAAACdO4WVBxFZ0wFk75OKf71A_n2etU97fdumpJrtbzeJeopO8j4ErQzBkRu-0bnGUM,False,0,False,camb34_,False,1689025280,1692132377
58,20000,0,0,68400,68400,24,0,0,0,False,7252431140978541595,False,False,False,0,MS4wLjABAAAAKU5dhfzVTXzYnZlD6oRqk7H6o3b4_w4ccWEjo8ZrLb6D4G6l5XjU3GscGgzxmj-O,False,0,False,growthmotivatio.n,False,1689025280,1692132377
12,151800,11,0,61700,61700,18,0,0,0,False,7256996375328539654,False,False,False,0,MS4wLjABAAAAppX_I9Ip0E38KyH3UC_2wXIVP0C5hWBYxCy3-Z2eXJ_4mdoRnsQc2KVfz1t_VAg8,False,0,False,real_digito_yt,False,1689025280,1692132377
1283,26500,1449,0,30400,30400,15,0,0,0,False,7051238048495469574,False,False,False,0,MS4wLjABAAAA7-uJacpih51d2ab3nRXZMr2pwkSOOsueuYP9vgfFoaIA3tTpGm_1ZvY9w1_ZVvYy,False,0,False,gigachadlayton,False,1689025280,1692132377
0,112100,1,0,304900,304900,327,0,0,0,False,7247149809332290566,False,False,False,0,MS4wLjABAAAAmrqOwg6y5aAndrzAwtctJM6D14wn0YOqqCOHUB8YOFV9-LFz5u0993nM6jKLc_Nz,False,0,False,billieandbryelle,False,1689025280,1692132377
446,3804,81,0,8391,8391,11,0,3,1,False,7203022704004760581,False,False,False,0,MS4wLjABAAAAFCnFROdTe2nzkehIgnz2zcM9XbrzSacZo5Wm4x-vI9PWjYJi-4PNyZEVa_O9H-cj,False,1,False,fn_ducky0,False,1689025280,1692132377
20,1864,7,0,1130,1130,5,0,0,0,False,7255800994264892422,False,False,False,0,MS4wLjABAAAAnnZiLTBRJMJ2nfmcjnPx-UrgLfpnqnez1Qwz6Sb8Mxga7t8vu1w_yhwKxc0TH9zY,False,0,False,_boyswin_2,False,1689025280,1692132377
9324,6100000,67,0,141100000,141100000,301,0,0,0,False,6701382841828574213,False,False,False,0,7285845691459537710,MS4wLjABAAAAxK8vnLzpqPoKxSGqIJivrICDBld7GLgBV__Jxwn21CPJqXscMz_FDNw6E356uqqV,False,0,False,realjayllnn,True,1689025280,1692132377
148,251100,934,0,1300000,1300000,152,0,0,0,False,7051550939769553921,False,False,False,0,MS4wLjABAAAAHtylXNX5fCy_y-lBeeZ3IFNnCxZ62A6fSis2sbQ1BVCfJGMzLwcdAQwCTS4wLB49,False,0,False,galaxykidrage,False,1689025280,1692132377
384,42900,43,0,152900,152900,42,0,0,0,False,7125866757298242566,False,False,False,0,MS4wLjABAAAAWLTEGH0XnDefWaEzUHSHl_8h3YAbyk4x7EQSrrLko-AyZVZ10nlc8x-RbIbOp7_Q,False,0,False,murrayuu,False,1689025280,1692132377
4240,2338,12,0,14,14,1,0,0,0,False,7225805980017001515,False,False,False,0,MS4wLjABAAAAiE2d5NA4mAApIRANHHaUVLkYMYVF0a83XGmoXb6BExusRyHF6j4oPVg9XJZUWtBo,False,0,False,zylo002,False,1689025280,1692132377
1203,69200,1184,0,202900,202900,338,0,3,1,False,6956639497636807685,False,False,False,0,MS4wLjABAAAA819T_4uC_rB0DfgOMG83g2hiSMcNT9BfYjoW681anA1JrTBdfrtSVHI5OhKJDnKC,False,1,False,nicky838473,False,1689025280,1692132377
12100,507500,600,0,1200000,1200000,193,0,0,0,False,6970067857724900358,False,False,False,0,7285746828090542894,MS4wLjABAAAAnh9uOdq9JR3obShnC2w5eoTJmPeqRBoDmtrOdaW39-UvAbqbWoFbFvSRTxo2f_1h,False,0,False,happyhappygaltv,False,1689025280,1692132377
31900,399000,98,0,4400000,4400000,475,0,0,0,False,7180701663324603398,False,False,False,0,MS4wLjABAAAAPkcYUjiGcUDusVSCoYsM8Fb_nMm-XOO8HqHM6_SBVutMBVWt44lvbLWW-KLTzvYD,False,0,False,aapm10,False,1689025280,1692132377
6399,11500,2835,0,41700,41700,63,0,0,0,False,7232961683350144005,False,False,False,0,MS4wLjABAAAA0RChEN2CKSDejbrLraiNpGHc10f7TP9ul-MTl1XGXrXrPcJFhoOePzvMsPhkscGf,False,0,False,harimai04,False,1689025280,1692132377
2082,560500,9,0,1200000,1200000,286,0,0,0,False,7102868770583266310,False,False,False,0,MS4wLjABAAAACDS371OaCl5onF2safb4CrwNe4bqgpRzMkx6fAat0TOLwJ4U7Kf5IxOy-dgbLuhy,False,0,False,boys__69,False,1689025280,1692132377
1627,12900,764,0,35800,35800,82,1,3,3,False,6970754319750775813,False,True,False,0,MS4wLjABAAAAiWAuZspSHhzykLdwK_rq0IASpTik0CUkWC5fG2fzdCUiiy7DVChuLUW2jj1tPxe2,False,3,False,joe_man6,False,1689025280,1692132377
578,48800,0,0,310800,310800,132,0,3,3,False,7008884501490598913,False,False,False,0,MS4wLjABAAAAEjK7YQD1104_RHEPSbIUeToqThiI7Mhv-vvg0_CpO_Sip_Z57pqfBOrOFgTbFCc8,False,3,False,crizallie0,False,1689025280,1692132377
348,19000,64,0,26400,26400,36,0,0,0,False,7089892896944440366,False,False,False,0,MS4wLjABAAAAU--GCLcVx6HrEPUHFiH_o3SO_8ELfmVYTlkjBKDG9wfypWXdujp7LDR4g4QiTVdQ,False,0,False,slyfearlessalt,False,1689025280,1692132377
0,3222,0,0,4709,4709,42,0,0,0,False,7254015788314149930,False,False,False,0,MS4wLjABAAAAuhPTAfueF-EBTYaMvIkxsXKIBMc13rM9Dj1foVhiU4MMqDamNUimKh2o2jnUvo2I,False,0,False,uwucutesingles2,False,1689025280,1692132377
1768,376700,71,0,1300000,1300000,2467,0,0,0,False,6907087767512417286,False,False,False,0,MS4wLjABAAAAxhPmREARf_OiaTyLM9Cd5tzvzi5uudZg7dvDytPtLDzPJCpB36aLQt2zEZR8X-JU,False,0,False,topherleonmusic,False,1689025280,1692132377
373,12200,71,0,28200,28200,2,0,0,0,False,7193794600405337134,False,False,False,0,MS4wLjABAAAArMx6-wmzcm2n8u5jWyU37sw_6dh93dltydUeRT4IgVKrJGmWNq4icRnDhk8yElTb,False,0,False,m3llow2real,False,1689025280,1692132377
69700,12800,6548,0,35400,35400,106,0,0,0,False,7161355038094804010,False,False,False,0,MS4wLjABAAAAK1yHu1pPrEuIX93YQCWXnIDtyjBFUBQpJrxiUCQ27VNTjYitgoeWQkVGVt_df9NJ,False,0,False,furiousrexx,False,1688427221,1689015048
4,5697,0,0,4648,4648,40,0,0,0,False,7252786232853054469,False,False,False,0,MS4wLjABAAAA-Y4ZY2GDxaIltTYGwLanzIBcCtaG5Z2EfZdJGL5VCPDQVYow412MbFeXG8vooALT,False,0,False,roblox_gamesz0,False,1688427221,1689015048
2192,29500,374,0,245000,245000,13,0,0,0,False,7214304154600014854,False,False,False,0,MS4wLjABAAAArxGStNzwLPpsf6PA6sBfNy7EbBnCd42wyq47w77tMpeL5Ji0mSNjseDTDz5V5cYI,False,0,False,shanleyyii,False,1688427221,1689015048
2,5095,4,0,9606,9606,10,0,0,0,False,7252034807919199258,False,False,False,0,MS4wLjABAAAAM43jZYOzZF6i8CDw9F6d0EDuaVT_WgfDWyS4BBAD6ShgCQxQ6Sm_H7vmHX_5uyaV,False,0,False,shroomx07,False,1688427221,1689015048
9341,13400,2010,0,0,0,0,0,0,0,False,7134751859840107525,False,False,False,0,MS4wLjABAAAA098aA79XM2_anNbYgsotU8N-H_-r9Vz88ConQ8Sw7kY9WIgQZdjXod_rMxHqdBcP,False,0,False,luci_pupsi,False,1688427221,1689015048
2870,3693,1611,0,8164,8164,70,0,3,1,False,7181126713900762158,False,False,False,0,MS4wLjABAAAA8iYX6ZjZPibdtt_wNJhaVbc_LNbYW_eS7NUgGhdJyMSm5mM3HJ4hzYzwbKfkE4_h,False,1,False,lovemcdaniell,False,1688427221,1689015048
81600,134100,108,0,487600,487600,250,0,0,0,False,7133921115345044486,False,False,False,0,MS4wLjABAAAARUE7xAwHaNJv6fLDMCXI_EyQUUS9ftfqY58-3jJEOHvvKhW0dTTCmam9c3W389lF,False,0,False,borna_kapusta09,False,1688427221,1689015048
8190,28100,128,0,61200,61200,2,0,0,0,False,7202653010425136133,False,False,False,0,MS4wLjABAAAADuZMHpsaALmVG9z0pTfoidTxlGWntXmtweftUPDj7x6Gw2t8wTbzQ99Dw-m7iljV,False,0,False,realrileyttb2023,False,1688427221,1689015048
64700,5526,2751,0,37900,37900,2,1,3,3,False,6627908446652366854,False,False,False,0,MS4wLjABAAAAjZCDHkx8mfhsYjky0yFXt8EmG8Dsl9uGpRVfQDyWTLD7mH68JuRUA3nbyRxpTG-8,False,3,False,.riaqx,False,1688427221,1689015048
894,71600,31,0,411100,411100,33,0,0,0,False,7183053065322054661,False,False,False,0,MS4wLjABAAAA7_ir-k4ONqUsNkSjk8rXNTOMEqfqJTEbUuNdnmX5Dea1TfOpJ15sONPKbCtyLC4s,False,0,False,azuxre1,False,1688427221,1689015048
447,175800,182,0,790300,790300,574,0,3,1,False,7147014451245122565,False,False,False,0,MS4wLjABAAAAxl5CBBPqwVh-XgaTDEhkEdhkcH7XkuBEPUHk_DnuHS6yxzRkSKTtrsi_TkjxI2jl,False,1,False,catolikescats80,False,1688427221,1689015048
65,320400,110,0,7700000,7700000,3022,0,3,0,False,7227537785266324526,False,False,False,0,MS4wLjABAAAANodzsdBUYWieK1xw5cGjctLBj_PQTVgtF9D03_1KRvzIterGt9MoN2o8D_Ghhmb2,False,0,False,wasted.quotes,False,1688427221,1689015048
6903,38500000,936,0,1000000000,1000000000,1548,0,0,0,False,8133246,False,False,False,0,MS4wLjABAAAAC6wZL2vdrdXTozZtZu4nBsoRtLG5MCMGHD9KuWVx_hA,False,0,False,dobretwins,True,1688427221,1689015048
319,1880,379,0,3896,3896,14,0,0,0,False,7234575763809780778,False,False,False,0,MS4wLjABAAAANdZIU-_77Jz-e54Zn2W76UXbavyHB5IJHtvsQCa1ysMolZZ9NTIw_9AnQoE8Wr9m,False,0,False,mariebranch43,False,1688427221,1689015048
839,20000,6,0,58400,58400,1,0,0,0,False,7239325116298839067,False,False,False,0,MS4wLjABAAAAAP70bYMdk8VD0MUUVrCoPjjbRs27PENQOEc-Ij5zc0_nvb8Vj35CBTodivq1tI8H,False,0,False,x82cm,False,1688427221,1689015048
1775,34100,4067,0,137600,137600,187,0,0,0,False,7177288302532953094,False,False,False,0,MS4wLjABAAAA9XNfjL8NPdnT13c19QacUsryv-uI8PdPlJezYMyiLfMDlKwZB39NB4RLiGmS8Fgt,False,0,False,notificationgod.20,False,1688427221,1689015048
1050,10300,52,0,21400,21400,7,0,0,0,False,7223415407770698757,False,False,False,0,MS4wLjABAAAAOlzy-HilAwHjqRCpAvFF9jdZMC4ZeqAZiNoAh6rg2a-MqY1FBB0zugNWI4f_W1S0,False,0,False,emmikelly2011,False,1688427221,1689015048
683,29,58,0,0,0,0,0,0,0,False,7249116251828962310,False,False,False,0,MS4wLjABAAAAhdgDPiPdF2fHmxQ28q6qx9PrmdL4-TXk_-Jk_Zpdp9HHXgWPNhoBM4nueW4xC-Yz,False,0,False,moka.ahmed799,False,1688427221,1689015048
800,996,748,0,1638,1638,13,0,0,0,False,7235456795542602758,False,False,False,0,MS4wLjABAAAADwM0oDYWDoe2P-B3MtYWeT-0mVxgbDB_IGYUjtCxoXVqd1P_Wq61qJbwQG1phxSg,False,0,False,see.you_mlbb,False,1688427221,1689015048
10800,5068,13,0,6079,6079,204,0,0,0,False,6769895537363158021,False,False,False,0,MS4wLjABAAAAzDD6O4AziuR03wrkrSAkWE_F0Q6tAfYpa6hdOtMARpgDtwKIKihZtl-nXx0iU4QY,False,0,False,4m4r702,False,1688427221,1689015048
18,353300,1,0,1400000,1400000,18,0,0,0,False,7226038580039762949,False,False,False,0,MS4wLjABAAAAXSk9FTtlAMYn8sdTlKfz0ZHrH_nBLN3fVElLguroqvn4alQj-Gj0A6DQ97-sicYg,False,0,False,viralexperimentroblox,False,1688427221,1689015048
1842,430900,6257,0,3400000,3400000,2140,0,0,0,False,7052489112003150853,False,False,False,0,MS4wLjABAAAABOxrEAcWtnNgCw9MlnPUoByih1V4H1iSElyM573rqkk6rfKmjiWfnhhmUkgS0Xbs,False,0,False,team_red_199,False,1688427221,1689015048
3121,10600,58,0,13000,13000,14,0,0,0,False,7241959993283953670,False,False,False,0,MS4wLjABAAAA6EJCNhdo2DUdxP2ThoF1Oe__3X-fytv8yjlHKWB3cGGQjEfOFxqSZrqNvKV6gwoT,False,0,False,frilo7g,False,1688427221,1689015048
101,279600,24,0,1500000,1500000,175,0,0,0,False,7199217246707090458,False,False,False,0,MS4wLjABAAAATCES3mFagOqvUAlsVy09SCbhA5vvfhGJ0HUhL8_bESA6vGiNMUDs87EccEu2EnkW,False,0,False,gaming_master2,False,1688427221,1689015048
1269,15000,5696,0,32500,32500,161,0,0,0,False,7089351022817592325,False,False,False,0,MS4wLjABAAAAjyMsnyh-uqnHAz3cNPF_uBDP_pZemtxVG6gVDTFg-g04VzsIPGVvIkG9fkSO6is4,False,0,False,all_editsto,False,1688427221,1689015048
514,6317,270,0,24600,24600,31,0,0,0,False,7184770675806454826,False,False,False,0,MS4wLjABAAAAz08XwlKhOOPN6Bj4ceOrjiFYJzk67Z9L9fnlnGY4EoDx4z_60Q52kX04F54wvga4,False,0,False,machewluvssports120,False,1688427221,1689015048
0,2700000,5414,0,102600000,102600000,561,0,3,0,False,6999333383647069189,False,False,False,0,MS4wLjABAAAATAT_qlkK_MAX2zTVgqUlOEoVKjWMhB_ByOWlwLZ7R8wAdyzmB2hN6scNbPARZWPO,False,0,False,its_lilmaceee,False,1688427221,1689015048
268,34300,0,0,2800000,2800000,176,0,0,0,False,7235099977370305563,False,False,False,0,MS4wLjABAAAAEa0dWBiRkU2n4b3c_CMVewKP8ag97_9XICzrUlIEF3ThszmTL6N4phfjb_U2gg_P,False,0,False,ly102454i4h,False,1688427221,1689015048
67,5280,5,0,4965,4965,26,0,0,0,False,7217989578718823429,False,False,False,0,MS4wLjABAAAAcAIQ8vQPK8bv3APUGw2Y0dbn11xQSJ5ZqQqK56tyJRoYHiK4YIpPqpGm0XRUmMgt,False,0,False,gxrelite,False,1687772819,1688350719
6,1684,3038,0,1987,1987,109,0,3,3,False,7150156977472390150,False,False,True,0,MS4wLjABAAAA93YdSjIMFg2LOB-nziTS7qmk0W8GmdJacP7eKQKGnMF-tLWw3vQIVky0z4ZHtn12,True,3,False,balbes040996,False,1687772819,1688350719
2638,58800,225,0,177700,177700,4,0,0,0,False,7240818670401684507,False,False,False,0,MS4wLjABAAAAtVfzj9J9rN9JweUQu4O2lGcGSbjIJ8T6HTvjBboaKG-iKO-9x9RNITtjKRx1vP8E,False,0,False,lou.liebt.tiktok,False,1687772819,1688350719
1932,6630,1235,0,25700,25700,360,0,3,3,False,6888509467652064261,False,False,False,0,MS4wLjABAAAAxLh43qjoHbmgMbmwdMMTNKWYRBMmjqJPgwRbqY3aT5DWxfzgulQ-DMROCO8IgtEL,False,3,False,luisp115,False,1687772819,1688350719
