diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
1585,275100,14,0,6100000,6100000,73,0,0,0,False,7276183344773628961,False,False,False,0,MS4wLjABAAAAikFq2bCurJ2vRmPi3MURU1yYYmzbAcd2NC1BcyG3hd4Dm5cQ-gzg9tn2IAT-N5vk,False,0,False,8d.tunes4,False,1695767167,1696363441
145,4652,16,0,53800,53800,24,0,0,0,False,7264935722892346374,False,False,False,0,7285847792623291142,MS4wLjABAAAAuFVqq0Jq0WJ6-XHK0z7Tr_W9PrKjRcg9bJEfFf7aOyTKOFW5xmLLhw8ZXTvKgJ5x,False,0,False,gmcorte,False,1695767167,1696363441
182,10500,0,0,132500,132500,127,0,0,0,False,7266682250137601066,False,False,False,0,MS4wLjABAAAAGA_MnN_YuvdRNPKuFK4ycxm4QVTV6J4i38h4YeuRlvd1BB8voI8Ix2eB0Ixoh9Bz,False,0,False,dkhsic,False,1695767167,1696363441
1651,35200,2,0,584800,584800,182,0,3,0,False,7267270597519819782,False,False,False,0,MS4wLjABAAAAx0neutvbDjyq5ezkMIvpWnryLCUvwlVpoojhl-n4doi9DFTP6H1Zu-SOWGw56AEl,False,0,False,pikachu.cortess,False,1695767167,1696363441
823,757,20,0,8747,8747,3,0,0,0,False,7122213889446462469,False,False,False,0,MS4wLjABAAAAZZdijIqLrcup4p51kAq_BU83U7zn9LHe3xEVDVe5uBRZ6ejXS6QbtRSXFi-baPML,False,0,False,mateusrenanbasebrazilian,False,1695767167,1696363441
375,228300,8,0,6900000,6900000,129,0,3,0,False,6903168036623270914,False,False,False,0,MS4wLjABAAAA0SUpObQh-6kM4F1-iW42ixA6eBzYjDNSVYAsnIXxSqRnJI46pqU--seZXgRiFoY7,False,0,False,tornadoj,False,1695767167,1696363441
20800,5396,63,0,47200,47200,3,0,3,3,False,6964927704064803845,False,False,False,0,MS4wLjABAAAA3MQcxilA5wG9D5ztBMYesTiraLjPbOl4CW9wOtV9Sote6RG9GDX-DYNjqa59MNFL,False,3,False,namigstzr,False,1695767167,1696363441
1052,253,131,0,329,329,13,0,0,0,False,7167166005038040070,False,False,False,0,MS4wLjABAAAAlODJ8S9SzUe_m-uHVTAWHY7FwYXNEHqobHQyCWuxM93DQmosbPnIufR1m6pHG-5f,False,0,False,vpzinnn0,False,1695767167,1696363441
394,35400,17,0,695000,695000,32,0,0,0,False,7276795441411490822,False,False,False,0,MS4wLjABAAAAm4B73Lhf8ldBu7mwJvAWXmBFpbWa0FIH1rflZg763tGrbWBLwm4tEjn7i3HO1qCM,False,0,False,curiosidades_real1,False,1695767167,1696363441
148800,170800,8898,0,1800000,1800000,575,0,0,0,False,6602243165691789318,False,False,False,0,MS4wLjABAAAA0vDIAIyOp-0oncWU8QGSTkE5nj9hAyhXMP8o0_jVNoWtgP6qj3z3TXu-oSjVC8bv,False,0,False,julia_rosaoficial,False,1695767167,1696363441
23800,4112,17,0,209300,209300,8,0,0,0,False,6955985908832486406,False,False,False,0,MS4wLjABAAAAIqYQgru_5oErX6Vc83Dtgwj0V0GTqRelhsbYm_kyUQP62-ts-eKK-OcbYggbJpuD,False,0,False,luiz_shelbyy,False,1695767167,1696363441
11800,93500,311,0,573100,573100,80,0,0,0,False,7097626060220679173,False,False,False,0,MS4wLjABAAAAveyWvZwYR81BtmmEDcPxpgadl7u6JLhfF5oViD9cCMzpibITgQLVDgmlHpoePLIm,False,0,False,plzin_tk,False,1695767167,1696363441
3439,14500,6082,0,507200,507200,384,0,0,0,False,6678281604232922117,False,False,False,0,MS4wLjABAAAAeqkebgU4Kji_zxSRcIldiqRiiMtghr6jVzTGB5W9sSokh9mq8fPZmH--WczRXQ4C,False,0,False,xxcristiano_editxx,False,1695767167,1696363441
2155,176800,262,0,6900000,6900000,177,0,0,0,False,7147706343759545349,False,False,False,0,MS4wLjABAAAAAno9yoB_vqSYoLBpJ-bXtIywEkRJhRtxkdRYQbr7S7Ma_CcLpnsIqGFl7jnWxBzc,False,0,False,kauezzyz,False,1695767167,1696363441
333,6173,21,0,560500,560500,3,0,0,0,False,6942918331117208582,False,False,False,0,MS4wLjABAAAAPT7nrm_DgZcYV4MPqto7TE_YH6_7VvawyLTzj9HYdYAOEAmMid5PEEMvuYDrbYX9,False,0,False,yas_.tti,False,1695767167,1696363441
247,31500,39,0,747500,747500,55,0,0,0,False,7224846954856793093,False,False,False,0,MS4wLjABAAAA5eJ4F9P1FN8KDvopS7O3Kj2AKOAm1O2a7e1SCA1JAlJHM4YY1e5lQuTQ7uxT1-GF,False,0,False,niky.am,False,1695767167,1696363441
0,166700,0,0,2200000,2200000,887,0,0,0,False,7195423103743788075,False,False,False,0,MS4wLjABAAAAQ8cb4-G3PPAD8AGKDCMfCuxviqoQiBuwp-AL2I4w3NPTJba7HU-CSZAutradaopC,False,0,False,bananad.ohio,False,1695767167,1696363441
597,77500,76,0,529200,529200,261,0,0,0,False,7205255161852494854,False,False,False,0,MS4wLjABAAAALitFvCD40kcr6Qvyquw7WMeJzPH97VTT1-dBzTUTNtwQFoR87QghyH8oMOjJkiSd,False,0,False,aa244814tgd,False,1695767167,1696363441
