diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
213,244100,4,0,5100000,5100000,487,0,0,0,False,6917255011139716101,False,False,False,0,MS4wLjABAAAAcY4bDwbB0SOhrdtLxiSF3QxjBUAKu-uHPKqmbW53CZSY-8bcKXGlDqVvM1h6ZAyA,False,0,False,sandrosouzaro,False,1690218416,1696332660
52,2293,13,0,1630,1630,12,0,0,0,False,7194263357439296518,False,False,False,0,MS4wLjABAAAAm9SO6VnIw9JfR3M40_p-odIsv6-SxlQgZaMaJmBL1tpumrkeSyM3yA0GYJhox6mH,False,0,False,livesdaneska,False,1690218416,1696332660
20000,1000000,415,0,9100000,9100000,298,0,0,0,False,282426657787904000,False,False,False,0,MS4wLjABAAAAqkecyL-6V6i5JAlVstIudWVAotUkFLEdEgzXgKuZhhZfyKZur1q9oP4teT5a6jx3,False,0,False,ms_batera1,False,1690218416,1696332660
51200,422300,46,0,3500000,3500000,2453,0,3,3,False,6809022594076410885,False,False,False,0,MS4wLjABAAAAf52HWudjuSRbLJ9hUZxQBWfxrDCgKQrBrqiZ_lSlO26L7yPHFEv8wpqEETWB96o1,False,3,False,cachorraoluz,False,1690218416,1696332660
4518,116400,60,0,1600000,1600000,555,0,0,0,False,6807474553972524038,False,True,False,0,MS4wLjABAAAAPbgtpvaJO35kuV_MLjAD5KIvw4BdZ6Aq1p7EArtggBZEpEiADP6WA3RcnwygBwJo,False,0,False,rafaelbrasil5.5,False,1690218416,1696332660
40,75300,19,0,407600,407600,540,0,0,0,False,7106175193173361670,False,False,False,0,MS4wLjABAAAAVp7YNM0oBLzNfvY35QW47Se_nVhEptm6RKOCFZtEVXAwNfNEpgjngvyDOry_3lKW,False,0,False,mistersolucoesbrasil,False,1690218416,1696332660
53,47500,10,0,258600,258600,38,0,0,0,False,7084668763249132549,False,False,False,0,MS4wLjABAAAA-PNzdBBh0dcMXjh7lWjLtFtCSNzc7SFg23bnXWe0J5xJS9soG1aAkD0HBy08bOQY,False,0,False,testandotudoo,False,1690218416,1696332660
12900,15800,7020,0,164900,164900,864,0,0,0,False,6631090092344639494,False,True,False,0,MS4wLjABAAAAirVbfM72KZUUBhqHlTHZNdmmJHCBG8oF4ALADh3DcSBX7W31Uh-o3f73S7mwGw1g,False,0,False,roseebarrosss,False,1690218416,1696332660
1935,110700,2,0,826000,826000,145,0,0,0,False,7161799535059059717,False,False,False,0,MS4wLjABAAAAlVbXreYmi_uwYfslE3BRSxFx5jDq0Xnl7vfdrCXZnLKpguOdPfNCH-177un4RiqI,False,0,False,achilles.bc1,False,1690218416,1696332660
1463,567,1036,0,2933,2933,452,0,0,0,False,7006766072557192198,False,False,False,0,MS4wLjABAAAA36YgbW3xls9ol0oG1cQ7I1J9XL8DHMAaVooVuNzQj7ntspuD2sHVbKB9wp4XRUXi,False,0,False,mariacavalcante2654,False,1690218416,1696332660
268,18400,26,0,48600,48600,74,0,0,0,False,7271448197393826822,False,False,False,0,MS4wLjABAAAATMgUXFhaPZTRiH_jFvfF4StqNnPLynBelOKbemZMDmSQdhEl6DnozxD2FCcpjThL,False,0,False,carolresende.oficial,False,1690218416,1696332660
10400,18600,592,0,208300,208300,44,0,0,0,False,279415530015416320,False,False,False,0,MS4wLjABAAAAF1oYly_xFQZT_HDnDrTNhHJVouLOG4COmKAdY1z6_NTilH1fdKgi3OYMheYUHRx6,False,0,False,filipe.angelo,False,1690218416,1696332660
126,46,57,0,65,65,8,0,0,0,False,6793015165753558022,False,False,False,0,MS4wLjABAAAAVWVOr9cU5WzVUdLSKYy5Og6mGUu7ixGIv14lkBmYr7t2YBUj7uG2vO_8WXSfmPK3,False,0,False,caiocesardinizfiladelfo,False,1690218416,1696332660
3,9301,5,0,9963,9963,1,0,0,0,False,7246505820346336261,False,False,False,0,MS4wLjABAAAAhWfMWhcC1OAwDdv3ZRiLwj3PBwBNSML10mXz9k_2-dBVpsS6uK0S2_AkuL-HbG1U,False,0,False,duplaaposta_,False,1690218416,1696332660
2226,113900,360,0,19200,19200,154,0,0,0,False,6810544832014255110,False,False,False,0,MS4wLjABAAAAe9tsnrqmzjCbfl7adkP10cNlhCXu9Ah9hluy2KyrxJt9DuulgmN4iY2nwQNrSmja,False,0,False,leobatataoficial,False,1690218416,1696332660
8478,4100000,32,0,40900000,40900000,111,0,0,0,False,6809798259012944902,False,False,False,0,MS4wLjABAAAApgU0M8yqHW93P8tjsfNfQpHfIfRO5S7UAHIPnjIPk_YyeRLSYkF6miUmF48C9GjH,False,0,False,bellacampox,True,1690218416,1696332660
1,642,0,0,6309,6309,72,0,0,0,False,6981498191204058117,False,False,False,0,MS4wLjABAAAAU2RySgM47wQ9DZm2bUmv_aNAYd9ZXBfOhZ319SbQGfg1i7J6Qi-bYPNVcM7FXtMB,False,0,False,leste.oficial,False,1690218416,1696332660
458,2580,5014,0,1439,1439,41,0,0,0,False,6987838812291941382,False,False,False,0,MS4wLjABAAAAsZhiVm3zz6pqzoh1YrpmBnNh6d-Y0g5rbkXOCUqD-b_5LUZc3WfGRYW--EAqOs65,False,0,False,duduperigoso1978,False,1690218416,1696332660
1364,122100,83,0,1700000,1700000,232,0,0,0,False,6818258517775483910,False,False,False,0,MS4wLjABAAAAa0ni2nc8-y4Pk7KCO0GLTVxlprRlvWKGTpidITK1cXw_6uzpVmXqk7kG6w-BoLOY,False,0,False,allanngoncaves,False,1690218416,1696332660
332,1785,406,0,4693,4693,609,0,0,0,False,6934673191584433157,False,True,False,0,MS4wLjABAAAAz89ooFpqQYA-zSFPROuOQMVQBT-fJXGQ_J_jaPtwrJ6YgKVEgHBMXplYbjTwiQ0n,False,0,False,aovivorj,False,1690218416,1696332660
143,765100,0,0,12600000,12600000,839,0,0,0,False,7246991527058310149,False,False,False,0,MS4wLjABAAAAmEnZWxRqDJqbUKdgHoqp5EyXXkKf8MJfuOoAfOxHV0jdHQ2yjKlHq8zLeC8IpDzz,False,0,False,ruytinvisionario,False,1690218416,1696332660
3560,9316,59,0,79900,79900,50,0,0,0,False,6949264853257241605,False,False,False,0,MS4wLjABAAAAPbTDpVbQ0nHMCIlT3_9aadD3yevOJaXO5fpe4XGH-58t9yd0sGPjfc56Z0bNapkf,False,0,False,erickpilotoofc,False,1690218416,1696332660
