diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
10600,368400,308,0,17000000,17000000,1196,0,0,0,False,177565278199779328,False,False,False,0,MS4wLjABAAAAkTe3kp8jZeNrjAE7as_5EhFzd9BfcoSfXEHKT2g58p1dfQG_-sbaLSLvnktmy4A4,False,0,False,skawatv,False,1696154005,1696358880
6197,192,553,0,934,934,92,3,3,3,False,7253205075815908378,False,False,True,0,MS4wLjABAAAAjwcI1i5Iaa6WDkNJ6WdVTqpto-moAnUliPgtU2WhXGfhMMA_XeZAkwaOtylIu0Aj,True,3,False,bumeneinhorn,False,1696154005,1696358880
105300,1363,5257,0,1366,1366,33,1,3,3,False,6797005459561661446,False,False,True,0,MS4wLjABAAAAavf9gDLfZdmbmePzuagPZhlwcrtEWBNWhj9fp1kSdHpIQnbHwLnry9Leo-_42PO3,True,3,False,sofija34,False,1696154005,1696358880
2,800,2,0,56500,56500,19,0,0,0,False,7280544168790148129,False,False,False,0,MS4wLjABAAAAP_xFxm5JbIWwAeWaUAFKTB3wNHQr3dLJQ_gUeEFeBIEY_66w1h9nEzVQ0R0TpqFY,False,0,False,wii.qiu0,False,1696154005,1696358880
853,2844,35,0,11600,11600,23,0,0,0,False,7259279649963410458,False,False,False,0,MS4wLjABAAAA6Bz6ahYgu8aqIWEtcy1p-7HjC0rpSLREIxHDZDQu292CCXsQT9JqdzdiZjJLQahl,False,0,False,itzz.mia.robloxxx,False,1696154005,1696358880
97800,4280,346,0,19600,19600,93,0,0,0,False,6887609666398864385,False,False,False,0,MS4wLjABAAAA37lK8alTsiE5WZFNtM5Z8-R9JjMbbWvzwpaHmpUUQ6w5th17Lz9NH8sBk_IQXiGJ,False,0,False,itzzz.inaa,False,1696154005,1696358880
99900,358700,377,0,13100000,13100000,1490,0,0,0,False,6799309368396973061,False,False,False,0,MS4wLjABAAAAbNYkMoT6k1xYH0dmMK_O6PoDezcqkLP4P-NY6fu05ocgN-MlD45EBzwoEJYqVUnk,False,0,False,niklasxskyz,False,1696154005,1696358880
1274,677,1169,0,580,580,122,0,3,3,False,7114285793044857861,False,False,True,0,MS4wLjABAAAAixZPIgg21vZnyi9i8d_1USHEs7Py746lxzYmf59-ce7A396bpeeHS7dxonv82QuV,True,3,False,marikahanijulabff,False,1696154005,1696358880
374,174,400,0,0,0,0,0,3,3,False,7246311162747995162,False,False,True,0,MS4wLjABAAAA5usQGRfkHmVxVC_865mgALhwXeQIYBVlpUxcNXyhGOwx6MhAnDJZNjftJ80IE6O_,True,3,False,its_lilly_1237,False,1696154005,1696358880
43700,3900000,185,0,125800000,125800000,439,0,0,0,False,6780734992856302598,False,False,False,0,MS4wLjABAAAAMF-L42gtJchluOb9NKGB7CFw1NTL7tJf6hOZBxjtmm5xTLpFXgy76SMx3KzCa9l8,False,0,False,kaan.etm,False,1696154005,1696358880
