diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
7085,3742,265,0,240,240,1,0,3,3,False,7119667553305035822,False,False,True,0,MS4wLjABAAAAS0rKeteWYzmBtAAZf9mC0bxDJE9UkDcOIJlbzLcNydEsLgbigme2Ig8kSxT2ldsL,True,3,False,digital_beggar951,False,1688766072,1693332233
551,30400,515,0,34000,34000,83,0,0,0,False,6937978237771547653,False,False,False,0,MS4wLjABAAAAezInFPgj6moN1Lfyy89aW8-KW9ion6F3zKoA7w6Y9T5D2xqZAdKAbm3zFmIS4Rsf,False,0,False,brainuser55,False,1688766072,1693332233
2137,121,307,0,142,142,4,0,3,3,False,6789588286424957953,False,False,False,0,MS4wLjABAAAAKzF6lWH7zHD_08yqsW46ZgteWISVnyDJisiTmE06JpyEx1owEdz2YTClUOQuhrwG,False,3,False,snowiefate,False,1688766072,1693332233
0,46600,24,0,1415,1415,24,0,0,0,False,7201871339967185963,False,False,False,0,MS4wLjABAAAAXlPIzuo2OCtIJFNazFLdaEvuqrPAjAvsd7zSbypzoaVCFAukQCy0sUbKAIE6pSVH,False,0,False,superuven,False,1688766072,1693332233
3480,2674,1817,0,216,216,0,0,0,0,False,7182590112416285738,False,False,False,0,MS4wLjABAAAAod80VQqDFyuMIzT8rJBKRSyQnBcWx0b5QcW_wzsiSo-xjn5rayUIGc3-J8I93qzD,False,0,False,nickrossi89,False,1688766072,1693332233
914,313,324,0,3622,3622,131,0,0,0,False,7040302366231168002,False,False,False,0,MS4wLjABAAAAwbK7JrGPVGRtggKQgVJDaUPGY4Gce9ULpop075ia45NII5C8qtp3bSMNSWD5F0VD,False,0,False,foureyedmonster,False,1688766072,1693332233
2313,209,743,0,401,401,22,0,0,0,False,7194844620893881387,False,False,False,0,MS4wLjABAAAAKHIuGtMx0qPmYyOGX--pRuFXYKLEwA9jxKKJXfjag8NLnFVcus2tufXNAFB7MEB7,False,0,False,sprite_cranberry_girl,False,1688766072,1693332233
2769,807,156,0,584,584,3,0,0,0,False,7244921680656040987,False,False,False,0,MS4wLjABAAAAI8xvi2AW8biWbIH2bgYAqP-3p3h1KHfKJzeu6uDszhiUc7_R6zHSAN9pAZ1DwocN,False,0,False,euge.nik,False,1688766072,1693332233
1209,174,93,0,1666,1666,103,0,3,1,False,6940762474015343622,False,False,False,0,MS4wLjABAAAAlV2BNuGwAjYmopxH9SQGHbRfD75Sin5sBomH14j3cTp1JpYS7SDnJIfNsgEI98qv,False,3,False,ash_o8,False,1688766072,1693332233
3391,452,506,0,1091,1091,14,0,0,0,False,7182648671195235371,False,False,False,0,MS4wLjABAAAAjWvdyBcDbM41Z8yEx_8sfEoPXuZ-DpHAVmU5WXCh0-kxGb0drhggdc1mHGPOMcG0,False,0,False,bhlkosher,False,1688766072,1693332233
485,1373,1883,0,1451,1451,135,0,0,0,False,7232024557992018949,False,False,False,0,MS4wLjABAAAAlHf8m7jXUoYHdd6bxVgWlb6YNm1yYiKj5dTt42YoGpa-_sAQy4W6X7lqhEUxNB4f,False,0,False,mrbeastkicks0,False,1688766072,1693332233
1388,90,340,0,241,241,21,0,0,0,False,7260561445023597574,False,False,False,0,MS4wLjABAAAAvZkwWwfB03piX8wruSI0VwliQxj-lNu646QeVgEHS9y2FW_K9W_y6Td_o0wkaarf,False,0,False,wachalonco0,False,1688766072,1693332233
13900,7022,344,0,69100,69100,21,0,0,0,False,6955508035285369857,False,False,False,0,MS4wLjABAAAAY1Eszk0MJO358vdONQRT3w-WpuNc8VohNyoMrkSeFVMQzoOiKkfOY3tQru9ITDHz,False,0,False,budzik.sick,False,1688766072,1693332233
41900,6292,9969,0,5237,5237,50,0,0,0,False,6850277108398179333,False,False,False,0,MS4wLjABAAAACJCj_LE7kTtfLzZ1rmU1sKK6B4-UCW3eK7KM4DCI-ZW0RQiUBfkWF8-nhT7RnSWX,False,0,False,windenergy4mw,False,1688766072,1693332233
10000,40900,1805,0,261300,261300,313,0,0,0,False,6532006609730699265,False,False,False,0,MS4wLjABAAAAuIzwe7fmGb9ZWpS4uCsQwrUm_AWGNDDXHklL8QUVTePfRs_Zs7pOCQHRbi04sZ1p,False,0,False,os_usn_24,False,1688766072,1693332233
10300,1626,1718,0,32,32,1,0,0,0,False,7081982654619845659,False,False,False,0,MS4wLjABAAAAcT9d2IUk7NjjBS2sTml9X2FYxeDcPDRyjggp-xzzSYZUFGPMF6jL2eKwixawf7UT,False,0,False,interactivelyve,False,1688766072,1693332233
962,7460,4064,0,2009,2009,26,0,0,0,False,7107139405304005638,False,False,False,0,MS4wLjABAAAAfJj0sVRpHCK6WV0ReZJKRkJTgBjJXkNEo6wsNY9btxSq_-5KfYAzi1UmcASzNgfi,False,0,False,professionals_at_work,False,1688766072,1693332233
4058,129,22,0,5230,5230,110,0,3,0,False,7152490330478363649,False,False,False,0,MS4wLjABAAAAsMsE7tc0gymUUNDXsrP2mxVIE1U42Ir33-BQN1g2nXv693v1DI4AeV8LgwJu311a,False,0,False,tt.eroqa,False,1688766072,1693332233
