diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
1022,42800,20,0,1200000,1200000,61,0,0,0,False,7097687662399849477,False,False,False,0,MS4wLjABAAAAJ3ey8ne3o438pOtjeRYooQP9KenjL-130vSI1BxgipGeChuYS9KniK5OoefCerMC,False,0,False,ki.anie,False,1693125123,1696341451
2223,157200,198,0,4900000,4900000,547,0,0,0,False,6927190217527165957,False,False,False,0,MS4wLjABAAAAhV8_hMVpb7GGpz0xmwfJmfq9Fx3YAZnXAfNT0ZwhNY_7GGDtqqULCh3FOu-BoRW6,False,0,False,kilian.verpennt,False,1693125123,1696341451
6712,1664,1638,0,30800,30800,11,0,0,0,False,6559991460257939462,False,False,False,0,MS4wLjABAAAAsxJaoUwFGR2d22W91YBKM7supFFK9lM_HTIS-0J_CJbgN1eUxvjbOIxG_7N5ggWU,False,0,False,elh_abdullah,False,1693125123,1696341451
1518,216700,12,0,3700000,3700000,94,0,0,0,False,7204930636174410757,False,False,False,0,MS4wLjABAAAAXwg--XsA3BWPGwI3UYVpiXi2d4Z3U4jHqdR3E6XULWKBPZsoAkJoduGx051UJEKO,False,0,False,thepurepath,False,1693125123,1696341451
29100,109800,146,0,6900000,6900000,534,0,0,0,False,6870129134653604869,False,False,False,0,MS4wLjABAAAA0CIOZDTzw1CJT37TnZ74VNFlwA9BmhD6gQ0mWoJ1vJsJmSXXe6Pgy4wSAv1Q4RnX,False,0,False,weristemir,False,1693125123,1696341451
187,9839,52,0,79300,79300,64,0,0,0,False,7146910718088233989,False,False,False,0,MS4wLjABAAAA2bQ4odpyoXKDSYdIxGlRBmzLbKlFBZySVby-rfNH_qCg2-FFci3AHTP_Y4DSI0wP,False,0,False,niklas_volland,False,1693125123,1696341451
3292,144800,690,0,1100000,1100000,835,0,0,0,False,6799898690678916102,False,False,False,0,MS4wLjABAAAAcqG5uCTSZzn_53TU1uyeTw7_i2gOKBm0l0jieNqk7hQ8oTO5a3llTIEwgwN-kdIi,False,0,False,inspectorxyto,False,1693125123,1696341451
1617,1100000,80,0,11400000,11400000,15,0,3,3,False,10532416,False,False,False,0,MS4wLjABAAAA1Y5K5FQz1fSwQag2ouzEOqqFpgSX3933ZhBIvXgMuXA,False,3,False,simondesuetv,False,1693125123,1696341451
8697,1800000,158,0,101800000,101800000,3182,0,0,0,False,21386609,False,False,False,0,MS4wLjABAAAAzf1p5z2V9DO2Pd7oWfdDEeyDS7nXJB6WzDTRZaC0W44,False,0,False,johanna_einhorn,True,1693125123,1696341451
656,554,271,0,68,68,1,0,0,0,False,6948872596301956102,False,False,False,0,MS4wLjABAAAAHWnbdwk2UbK_meOllutk_fdYIvOok_RBmvaVgi8nYJWW7XHMz_MzU9K_ANv41zc1,False,0,False,rolexjoe,False,1693125123,1696341451
142,32,7,0,651,651,1,3,0,0,False,6843847511875683333,False,False,False,0,MS4wLjABAAAAJ6EJrR9s9cdXhSGB-DmOSnboK4dW5BSiX-7gRhjGWzBvzBwyi9-yuoSdJ6D9ynbO,False,0,False,emir.atc061,False,1693125123,1696341451
7673,42500,2071,0,2000000,2000000,761,0,3,0,False,7153958587382793221,False,False,False,0,MS4wLjABAAAAW67kHyJLTRbrzcSvVzqZ3F0MblJg83eWm7diCbBCyfcakdOivx-1DPUmoPnbY6h8,False,0,False,mr3mrah,False,1693125123,1696341451
141,2146,14,0,8718,8718,3,0,0,0,False,7275635516148941857,False,False,False,0,MS4wLjABAAAAEaqhCuPd1vb9liibATDCNU_uy2DnY32-Wi7vrw_q1ARDF5NGFAfZ6bl_NFhqyzfc,False,0,False,bleart_38,False,1693125123,1696341451
76,23400,2,0,443000,443000,45,0,0,0,False,7272459209240331296,False,False,False,0,MS4wLjABAAAAKWAAhsk5nNR057Uk1YHgQX6rrvESVTqA5x-PIQRFkkQf48FxLYXlMUF5Q4Ruxrno,False,0,False,islammitnabil_,False,1693125123,1696341451
1627,127,419,0,1640,1640,39,0,0,0,False,7210482056304002053,False,False,False,0,MS4wLjABAAAA1AVdw_uKCocrTGiyVG7eT2yXei6YI8WFujDpDFwcUqfR0T5NbfquznRw7x4lJA4_,False,0,False,mohamadking8345,False,1693125123,1696341451
399,202400,1612,0,1106,1106,10,0,0,0,False,7077578074375816235,False,False,False,0,MS4wLjABAAAA7orMMiqF-h8VPXWDJKTcUqem_PfHiGWwtn2FrOotKMC2VDhd7jWqBnbBT4rtdA-9,False,0,False,toolsworld19,False,1693125123,1696341451
326,21000,1,0,432500,432500,31,0,0,0,False,7253807644853683227,False,True,False,0,MS4wLjABAAAAMSY_HqCqBXPQw72vEO6M0jkX-VkWNUMbSAMi1UZV9G4A0hfLzkCE5yEmL10EWmYD,False,0,False,wahrer_weg_islam,False,1693125123,1696341451
673,8740,16,0,127800,127800,24,0,0,0,False,7158739941571707909,False,False,False,0,MS4wLjABAAAAnn7OTwJNUSCgX6qMrcPrPshyOpjg4MmoamDEfaug6Q3CepkRnTn6t7PmQ_etq42b,False,0,False,moha_med1p,False,1693125123,1696341451
0,580,0,0,3007,3007,10,0,0,0,False,7259021220880172059,False,False,False,0,MS4wLjABAAAAQXuUgFCkhjLhHW1Zf7xFY88MSGuq577wsQRnLEEyaZJrpsNZgNx3csr3dwNDAuf-,False,0,False,warenguru,False,1693125123,1696341451
123,44,153,0,147,147,14,0,0,0,False,7247619511133504539,False,False,False,0,MS4wLjABAAAAF9PcaqGICQV04uOBQY9hRP01wmcGJmfAClka8mNtYM6kPH5Ecb3E3u4yGXx5-h6m,False,0,False,zlati_danailov,False,1693125123,1696341451
699,12100,24,0,737500,737500,49,0,0,0,False,7260225812724958234,False,False,False,0,MS4wLjABAAAA2SlBvQ1GSNnZO7K0aTbJlHWdvfQwwDHLf1_5i4w-SL7FWUmcdtpTqjJ5Fb8cbiG9,False,0,False,al.maarif,False,1693125123,1696341451
5826,6234,91,0,240200,240200,35,0,3,0,False,6764100826651870214,False,False,False,0,MS4wLjABAAAAx9cNqwM5l2hUyG-chTqycMh36s5mjBfvdsiVrjWvl_IhhmxTyCS7A3bdJbauBGFA,False,3,False,nadinxxe,False,1693125123,1696341451
3657,2100000,60,0,28200000,28200000,177,0,0,0,False,6782570128158589958,False,False,False,0,MS4wLjABAAAA4JltsoQdxmSdw-yJUBqx7E5E2LynuuREdWNVGVdtTxFwagxN1uTJ6LAZOlFuYFqv,False,0,False,lenstrumental,False,1693125123,1696341451
