diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
2380,43,466,0,0,0,0,0,3,3,False,6775160296849785861,False,False,True,0,MS4wLjABAAAAlK6J9-ySHzLSRp-kzDz7y-A9tUE-iN1Ea6Y2PHNUT6TTuXJI9fxOEO80yXQW8i0O,True,3,False,suckyamotter,False,1696361992,1696365219
11200,40,698,0,0,0,0,0,3,3,False,6943441257998271494,False,False,True,0,MS4wLjABAAAAb9q4CW9TZiGKKqFIHHv20M-FClY7VUvt3W-HQUYL15nSIWDmZgXanuEV3PVMshn9,True,3,False,limegreen_3,False,1696361992,1696365219
1125,319,296,0,1276,1276,180,0,0,0,False,6672059384035639301,False,False,False,0,MS4wLjABAAAAKCEye7w8s1l6Q3GYAJVo47rIR5CkrQ8PW50TiHpDsyugJz7TdwLYZYOcIH0HUW1m,False,0,False,jenniferleemuise,False,1696361992,1696365219
1099,5180,4868,0,366,366,5,1,3,3,False,7202791105246069765,False,False,False,0,MS4wLjABAAAA4Mt0lnlF_SLU3ygtZfLkMqeibaZ_zX--bXiHDpOjFc1DhUT5S-50RrM675rgbLty,False,0,False,mellybean00,False,1696361992,1696365219
6944,8837,5709,0,88800,88800,200,0,0,0,False,137116827050164224,False,False,False,0,MS4wLjABAAAABGqQ8AVYefWbr7_ROHpJ9kq-YPBrZL6r7zTh1-y3oYw0Ux8ylIraccymqh4dKzLI,False,0,False,pcola_yangler,False,1696361992,1696365219
222,73,94,0,95,95,1,0,0,0,False,6809792846008419334,False,False,False,0,MS4wLjABAAAAPEGwgmyNWXlN_pMsN6pFfzqKmnJC2qFSPEpgwuR0AU7CIirrVh-9Wfokz0XjPWSK,False,0,False,melyndakayscruggs,False,1696361992,1696365219
955,125,800,0,170,170,1,0,0,0,False,6927180097713210374,False,False,False,0,MS4wLjABAAAAU5wHSWl_XoeBa9hu_RH3KozmJWu0bxj0pFL74t0ewPtfdGFCLEmv1HsMeCEpojj8,False,0,False,roxetterocsana,False,1696361992,1696365219
5190,181,107,0,86,86,1,0,0,0,False,7198964081385800709,False,False,False,0,MS4wLjABAAAAl5gqXGjScbd4sfr5AsCt53X4nqGMtkF_Ea59vqDsbkhl-7Q62756u-20r2czuP6n,False,0,False,popmarius698,False,1696361992,1696365219
4304,103,261,0,0,0,0,0,3,3,False,7117329444226303018,False,False,True,0,MS4wLjABAAAAfb5Iz7i_-3H-JkVa853TIFgG1cnemuoACw8KEGZRYaAAe3UL0NDqzYbFU5wVBwEO,True,3,False,mmorrow.74,False,1696361992,1696365219
6172,84,304,0,185,185,4,3,3,3,False,6934656689137615878,False,False,False,0,MS4wLjABAAAArPZrIiHrHXMA9s-RbpREFL91dLCyelS6jbYYkXLE2kmavwpzKW93pKAXuVIL2XMv,False,3,False,mirelacristina46,False,1696361992,1696365219
12000,1226,1252,0,4735,4735,27,0,0,0,False,6758394608046326789,False,False,False,0,MS4wLjABAAAAFwfHFZp5lhHKYm0jRSCZ9xdqibMD3OEYvn96dvW_pCwU_F-RiYCSM_nTn7qXNQzY,False,0,False,diaconudiana0802,False,1696361992,1696365219
40500,123,1383,0,2634,2634,83,0,3,3,False,7000718773184021509,False,False,False,0,MS4wLjABAAAAq_BGyWMRDRAeBetEMsutauwmpSAFBMVKIP3LRIbv521-S5ZrIEA4dXjMdHUO-oNF,False,3,False,daniel_i77,False,1696361992,1696365219
2715,74,151,0,107,107,3,0,0,0,False,6808525572496507910,False,False,False,0,MS4wLjABAAAAJd6_5R_uRnkk913V7GetYfyKHTTOBrHbZjWYK6l8vvG7-T2dSBfZuwOrCBvMYhua,False,0,False,doralisaserban24,False,1696361992,1696365219
16200,5362,4617,0,8136,8136,288,0,0,0,False,7033112951042081797,False,True,False,0,MS4wLjABAAAAXgzZVnXVnkHXyhjEB3QS8aTfG16CiKzSlTKcT589ICxfFoG326ZXqO6mK_4NhBt6,False,0,False,alberttoaso1,False,1696361992,1696365219
2432,480,469,0,39,39,1,0,0,0,False,7025534513003791366,False,False,False,0,MS4wLjABAAAAb-1Rtobl1HxmBtxlPzxxoTM_KJthUhn0StZgXoMw1xn-t_StEfoaCY8IDpiUK-BM,False,0,False,katiastoian,False,1696361992,1696365219
14100,1342,5997,0,2608,2608,61,0,0,0,False,6706212837674746885,False,True,False,0,MS4wLjABAAAA_jIDf0IyLeEnH327c3VijDETzOp2uJijgpucboP3U-FfRKMXo765oTy-wqlA9s6j,False,0,False,marius93marius,False,1696361992,1696365219
